id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,t_reaction,attempt_number,iter
3,3,free,1,1,motor,4,4,1,0.497,1,0
3,3,free,1,2,motor,6,6,1,0.627,1,0
3,3,free,1,3,motor,4,4,1,0.479,1,0
3,3,free,1,4,motor,8,8,1,0.479,1,0
3,3,free,1,5,motor,2,2,1,0.505,1,0
3,3,free,1,6,motor,5,5,1,0.528,1,0
3,3,free,1,7,motor,5,5,1,0.700,1,0
3,3,free,1,8,motor,2,2,1,0.529,1,0
3,3,free,1,9,motor,4,4,1,0.520,1,0
3,3,free,1,10,motor,5,5,1,0.506,1,0
3,3,free,1,11,motor,6,6,1,0.403,1,0
3,3,free,1,12,motor,5,5,1,0.402,1,0
3,3,free,1,13,motor,7,7,1,0.511,1,0
3,3,free,1,14,motor,5,5,1,0.680,1,0
3,3,free,1,15,motor,4,4,1,0.599,1,0
3,3,free,1,16,motor,2,2,1,0.740,1,0
3,3,free,1,17,motor,3,3,1,0.800,1,0
3,3,free,1,18,motor,7,7,1,1.104,1,0
3,3,free,1,19,motor,2,2,1,0.713,1,0
3,3,free,1,20,motor,8,8,1,0.818,1,0
3,3,free,1,21,motor,2,2,1,0.544,1,0
3,3,free,1,22,motor,1,1,1,0.539,1,0
3,3,free,1,23,motor,4,4,1,0.579,1,0
3,3,free,1,24,motor,8,8,1,0.721,1,0
3,3,free,1,25,motor,5,5,1,0.655,1,0
3,3,free,1,26,motor,8,8,1,0.556,1,0
3,3,free,1,27,motor,4,4,1,0.419,1,0
3,3,free,1,28,motor,1,1,1,0.431,1,0
3,3,free,1,29,motor,6,6,1,0.712,1,0
3,3,free,1,30,motor,1,1,1,0.604,1,0
3,3,free,1,31,motor,7,7,1,0.718,1,0
3,3,free,1,32,motor,3,3,1,1.349,1,0
3,3,free,1,33,motor,4,4,1,0.576,1,0
3,3,free,1,34,motor,5,5,1,0.487,1,0
3,3,free,1,35,motor,8,8,1,0.527,1,0
3,3,free,1,36,motor,6,6,1,0.659,1,0
3,3,free,1,37,motor,2,2,1,0.824,1,0
3,3,free,1,38,motor,8,8,1,0.651,1,0
3,3,free,1,39,motor,7,7,1,0.526,1,0
3,3,free,1,40,motor,8,8,1,0.531,1,0
3,3,free,1,41,motor,5,5,1,0.532,1,0
3,3,free,1,42,motor,2,2,1,0.606,1,0
3,3,free,1,43,motor,2,2,1,0.448,1,0
3,3,free,1,44,motor,8,8,1,0.627,1,0
3,3,free,1,45,motor,1,1,1,0.458,1,0
3,3,free,1,46,motor,8,8,1,0.392,1,0
3,3,free,1,47,motor,5,5,1,0.506,1,0
3,3,free,1,48,motor,4,4,1,0.568,1,0
3,3,free,1,49,motor,6,6,1,0.494,1,0
3,3,free,1,50,motor,6,6,1,0.425,1,0
3,3,free,1,51,motor,2,2,1,0.550,1,0
3,3,free,1,52,motor,3,3,1,0.728,1,0
3,3,free,1,53,motor,4,4,1,0.470,1,0
3,3,free,1,54,motor,6,5,0,0.732,1,0
3,3,free,1,54,motor,6,6,1,0.381,2,0
3,3,free,1,55,motor,1,1,1,0.598,1,0
3,3,free,1,56,motor,1,1,1,0.548,1,0
3,3,free,1,57,motor,8,8,1,0.575,1,0
3,3,free,1,58,motor,7,7,1,0.617,1,0
3,3,free,1,59,motor,5,5,1,0.512,1,0
3,3,free,1,60,motor,8,8,1,0.495,1,0
3,3,free,1,61,motor,4,4,1,0.615,1,0
3,3,free,1,62,motor,4,4,1,0.406,1,0
3,3,free,1,63,motor,3,3,1,0.639,1,0
3,3,free,1,64,motor,7,7,1,0.636,1,0
3,3,free,1,65,motor,4,4,1,0.556,1,0
3,3,free,1,66,motor,7,7,1,0.758,1,0
3,3,free,1,67,motor,4,4,1,0.506,1,0
3,3,free,1,68,motor,1,1,1,0.550,1,0
3,3,free,1,69,motor,3,4,0,0.674,1,0
3,3,free,1,69,motor,3,3,1,0.295,2,0
3,3,free,1,70,motor,4,4,1,0.664,1,0
3,3,free,1,71,motor,2,2,1,0.551,1,0
3,3,free,1,72,motor,6,6,1,0.680,1,0
3,3,free,1,73,motor,3,3,1,0.591,1,0
3,3,free,1,74,motor,7,7,1,1.269,1,0
3,3,free,1,75,motor,5,5,1,0.562,1,0
3,3,free,1,76,motor,4,4,1,0.499,1,0
3,3,free,1,77,motor,5,6,0,0.471,1,0
3,3,free,1,77,motor,5,5,1,0.257,2,0
3,3,free,1,78,motor,4,4,1,0.612,1,0
3,3,free,1,79,motor,2,2,1,0.835,1,0
3,3,free,1,80,motor,4,4,1,0.531,1,0
3,3,free,1,81,motor,6,6,1,0.680,1,0
3,3,free,1,82,motor,8,8,1,0.602,1,0
3,3,free,1,83,motor,3,3,1,0.781,1,0
3,3,free,1,84,motor,8,8,1,0.502,1,0
3,3,free,1,85,motor,8,8,1,0.512,1,0
3,3,free,1,86,motor,4,4,1,0.539,1,0
3,3,free,1,87,motor,6,6,1,0.629,1,0
3,3,free,1,88,motor,5,4,0,0.554,1,0
3,3,free,1,88,motor,5,5,1,0.212,2,0
3,3,free,1,89,motor,1,1,1,0.631,1,0
3,3,free,1,90,motor,8,8,1,0.657,1,0
3,3,free,1,91,motor,8,8,1,0.650,1,0
3,3,free,1,92,motor,4,4,1,0.528,1,0
3,3,free,1,93,motor,8,8,1,0.481,1,0
3,3,free,1,94,motor,2,2,1,0.749,1,0
3,3,free,1,95,motor,4,4,1,0.476,1,0
3,3,free,1,96,motor,6,6,1,0.737,1,0
3,3,free,1,97,motor,7,7,1,0.542,1,0
3,3,free,1,98,motor,6,5,0,0.527,1,0
3,3,free,1,98,motor,6,6,1,0.211,2,0
3,3,free,1,99,motor,3,3,1,0.606,1,0
3,3,free,1,100,motor,8,8,1,0.629,1,0
3,3,free,1,101,motor,1,1,1,0.686,1,0
3,3,free,1,102,motor,8,8,1,0.461,1,0
3,3,free,1,103,motor,2,2,1,0.628,1,0
3,3,free,1,104,motor,3,3,1,0.559,1,0
3,3,free,1,105,motor,5,5,1,0.607,1,0
3,3,free,1,106,motor,8,8,1,0.496,1,0
3,3,free,1,107,motor,1,1,1,0.550,1,0
3,3,free,1,108,motor,1,1,1,0.533,1,0
3,3,free,1,109,motor,3,3,1,0.884,1,0
3,3,free,1,110,motor,3,3,1,0.416,1,0
3,3,free,1,111,motor,2,2,1,0.606,1,0
3,3,free,1,112,motor,1,1,1,0.453,1,0
3,3,free,1,113,motor,6,6,1,0.652,1,0
3,3,free,1,114,motor,2,2,1,0.645,1,0
3,3,free,1,115,motor,2,2,1,0.339,1,0
3,3,free,1,116,motor,7,7,1,0.519,1,0
3,3,free,1,117,motor,3,3,1,1.032,1,0
3,3,free,1,118,motor,6,6,1,0.618,1,0
3,3,free,1,119,motor,2,3,0,0.394,1,0
3,3,free,1,119,motor,2,2,1,0.208,2,0
3,3,free,1,120,motor,3,3,1,0.706,1,0
3,3,free,1,121,motor,6,6,1,0.563,1,0
3,3,free,1,122,motor,3,3,1,0.653,1,0
3,3,free,1,123,motor,6,6,1,0.551,1,0
3,3,free,1,124,motor,8,8,1,0.610,1,0
3,3,free,1,125,motor,5,5,1,0.537,1,0
3,3,free,1,126,motor,5,5,1,0.437,1,0
3,3,free,1,127,motor,8,8,1,0.485,1,0
3,3,free,1,128,motor,6,6,1,0.441,1,0
3,3,free,1,129,motor,7,6,0,0.600,1,0
3,3,free,1,129,motor,7,7,1,0.168,2,0
3,3,free,1,130,motor,2,2,1,0.639,1,0
3,3,free,1,131,motor,8,8,1,0.453,1,0
