"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"3033.4000000003725","3036","HierDy5c32lxwz","sub22","10","05","","","","","","","","","",""
"","4898","HierDy5c32lxwz","sub22","10","05","fullscreen","","","","","","","","",""
"9598.099999999627","14497","HierDy5c32lxwz","sub22","10","05","","prac","","","","","","","",""
"1037.4000000003725","15537","HierDy5c32lxwz","sub22","10","05","","","32","","","","","","",""
"1469.2000000011176","17006","HierDy5c32lxwz","sub22","10","05","","prac","","","","","","","",""
"1752.5","18761","HierDy5c32lxwz","sub22","10","05","rl","test","72","img/p_t_stripes.png","5","72","shape,pattern,color","1","1",""
"null","19767","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","1","",""
"754.5","20523","HierDy5c32lxwz","sub22","10","05","rl","test","70","img/b_s_check.png","4","70","shape,pattern,color","2","1",""
"null","21525","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","2","",""
"763.0999999996275","22289","HierDy5c32lxwz","sub22","10","05","rl","test","65","img/p_s_stripes.png","1","65","shape,pattern,color","3","1",""
"null","23294","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","3","",""
"720.7000000011176","24016","HierDy5c32lxwz","sub22","10","05","rl","test","68","img/p_s_check.png","3","68","shape,pattern,color","4","1",""
"null","25022","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","4","",""
"853.6999999992549","25877","HierDy5c32lxwz","sub22","10","05","rl","test","76","img/b_t_check.png","8","76","shape,pattern,color","5","1",""
"null","26889","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","5","",""
"883.5","27773","HierDy5c32lxwz","sub22","10","05","rl","test","74","img/b_t_stripes.png","6","74","shape,pattern,color","6","1",""
"null","28783","HierDy5c32lxwz","sub22","10","05","feedback","test","null","","","na","","6","",""
"994.7000000011176","29779","HierDy5c32lxwz","sub22","10","05","rl","test","83","img/b_s_stripes.png","2","83","shape,pattern,color","7","1",""
