"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"null","","1777612","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"982","","1778610","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","75","img/flatlearn_img/b_s.png","75","test","7","color","NaN","1","","",""
"null","","1779619","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"742","","1780376","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","65","img/flatlearn_img/g_s.png","65","test","1","color","NaN","1","","",""
"null","","1781393","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"809","","1782219","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","72","img/flatlearn_img/y_s.png","72","test","5","color","NaN","1","","",""
"null","","1783228","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"775","","1784019","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","74","img/flatlearn_img/br_s.png","74","test","6","color","NaN","1","","",""
"null","","1785028","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"1047","","1786091","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","68","img/flatlearn_img/b_s.png","75","test","7","color","NaN","0","","",""
"null","","1787107","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"743","","1787859","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","76","img/flatlearn_img/r_s.png","76","test","8","color","NaN","1","","",""
"null","","1788868","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"766","","1789649","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","65","img/flatlearn_img/g_s.png","65","test","1","color","NaN","1","","",""
"null","","1790666","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"1103","","1791786","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","76","img/flatlearn_img/r_s.png","76","test","8","color","NaN","1","","",""
"null","","1792803","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"998","","1793819","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","83","img/flatlearn_img/pl_s.png","68","test","3","color","NaN","0","","",""
"null","","1794828","HierDyhur00wdf","w1kr81ai6m","msl000227","feedback","","null","","na","test","","","","","","",""
"597","","1795442","HierDyhur00wdf","w1kr81ai6m","msl000227","rl","","70","img/flatlearn_img/o_s.png","70","test","4","color","NaN","1","","",""
