"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"610950","{""Q0"":""msl000244""}","610978","HierDydoxll9k2","fq6dgyznkr","msl000244","","","","","","","","","","","","",""
"1369","","612359","HierDydoxll9k2","fq6dgyznkr","msl000244","","","","","","","","","","","","",""
"","","614339","HierDydoxll9k2","fq6dgyznkr","msl000244","fullscreen","","","","","","","","","","","",""
"13255","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","627600","HierDydoxll9k2","fq6dgyznkr","msl000244","","[0,1,2]","","","","","","","","","","",""
"4614","{""Q0"":""21""}","632231","HierDydoxll9k2","fq6dgyznkr","msl000244","","","","","","","","","","","","",""
"100009","","732246","HierDydoxll9k2","fq6dgyznkr","msl000244","","","","","","","","","","","","",""
"868","","733122","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","83","img/motor_2.png","83","motor","2","shape","1","1","0","0",""
"null","","733231","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"763","","734003","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","72","img/motor_5.png","72","motor","5","shape","2","1","0","0",""
"null","","734118","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"596","","734723","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","74","img/motor_6.png","74","motor","6","shape","3","1","0","0",""
"null","","734831","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"587","","735426","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","83","img/motor_2.png","83","motor","2","shape","4","1","0","0",""
"null","","735534","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"565","","736107","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","68","img/motor_3.png","68","motor","3","shape","5","1","0","0",""
"null","","736215","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"748","","736970","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","74","img/motor_6.png","74","motor","6","shape","6","1","0","0",""
"null","","737084","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"558","","737650","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","72","img/motor_5.png","72","motor","5","shape","7","1","0","0",""
"null","","737758","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"637","","738403","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","83","img/motor_2.png","83","motor","2","shape","8","1","0","0",""
"null","","738511","HierDydoxll9k2","fq6dgyznkr","msl000244","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"580","","739099","HierDydoxll9k2","fq6dgyznkr","msl000244","motor","","70","img/motor_4.png","70","motor","4","shape","9","1","0","0",""
