"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"5425","{""Q0"":""msl000708""}","5479","HierDyne3gc95m","wtm7rerlrl","msl000708","","","","","","","","","","","",""
"1098","","6583","HierDyne3gc95m","wtm7rerlrl","msl000708","","","","","","","","","","","",""
"","","8371","HierDyne3gc95m","wtm7rerlrl","msl000708","fullscreen","","","","","","","","","","",""
"53613","","61993","HierDyne3gc95m","wtm7rerlrl","msl000708","","","","","","","","","","","",""
"1430","","63434","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_1.png","65","65","motor","1","1","1","0","0","",""
"null","","63543","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"902","","64454","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_5.png","72","72","motor","5","2","1","0","0","",""
"null","","64565","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"676","","65249","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_4.png","70","70","motor","4","3","1","0","0","",""
"null","","65357","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"651","","66019","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_6.png","74","74","motor","6","4","1","0","0","",""
"null","","66128","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"704","","66841","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_2.png","68","83","motor","2","5","0","1","0","",""
"800","","67649","HierDyne3gc95m","wtm7rerlrl","msl000708","motorRepeat","img/motor_2.png","83","83","motor","2","5","1","0","0","",""
"null","","67759","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"631","","68399","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_5.png","72","72","motor","5","6","1","0","0","",""
"null","","68507","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"519","","69035","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_5.png","72","72","motor","5","7","1","0","0","",""
"null","","69144","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"633","","69786","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_8.png","76","76","motor","8","8","1","0","0","",""
"null","","69894","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"725","","70626","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_4.png","70","70","motor","4","9","1","0","0","",""
"null","","70735","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"604","","71349","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_3.png","68","68","motor","3","10","1","0","0","",""
"null","","71461","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"604","","72075","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_3.png","68","68","motor","3","11","1","0","0","",""
"null","","72185","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"984","","73178","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_7.png","75","75","motor","7","12","1","0","0","",""
"null","","73289","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"540","","73836","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_5.png","72","72","motor","5","13","1","0","0","",""
"null","","73945","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"551","","74504","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_8.png","76","76","motor","8","14","1","0","0","",""
"null","","74613","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"579","","75204","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_4.png","70","70","motor","4","15","1","0","0","",""
"null","","75316","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"513","","75839","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_3.png","68","68","motor","3","16","1","0","0","",""
"null","","75949","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"503","","76463","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_5.png","72","72","motor","5","17","1","0","0","",""
"null","","76574","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"521","","77103","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_6.png","74","74","motor","6","18","1","0","0","",""
"null","","77213","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"524","","77746","HierDyne3gc95m","wtm7rerlrl","msl000708","motor","img/motor_1.png","65","65","motor","1","19","1","0","0","",""
"null","","77855","HierDyne3gc95m","wtm7rerlrl","msl000708","iti","img/motor_blank.png","null","65","motor","","","","","","",""
