id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
37,1,forced,2,1,motor,4,4,0,0,1.200,1.338,0
37,1,forced,2,2,motor,6,6,1,1,1,0.979,0
37,1,forced,2,3,motor,2,2,1,1,0.500,0.453,0
37,1,forced,2,4,motor,1,1,0,0,0.100,0.262,0
37,1,forced,2,5,motor,8,8,1,1,0.200,0.281,0
37,1,forced,2,6,motor,5,5,1,1,0.400,0.398,0
37,1,forced,2,7,motor,8,8,1,1,0.600,0.592,0
37,1,forced,2,8,motor,5,5,0,0,0.700,0.908,0
37,1,forced,2,9,motor,8,8,1,1,1.200,1.236,0
37,1,forced,2,10,motor,1,1,0,0,0.200,0.323,0
37,1,forced,2,11,motor,1,1,0,0,0.100,0.321,0
37,1,forced,2,12,motor,4,4,1,1,0.700,0.734,0
37,1,forced,2,13,motor,6,6,0,0,0.100,0.438,0
37,1,forced,2,14,motor,5,5,1,1,0.400,0.383,0
37,1,forced,2,15,motor,2,2,1,1,0.700,0.779,0
37,1,forced,2,16,motor,4,4,0,0,0.200,0.349,0
37,1,forced,2,17,motor,8,8,1,1,1.200,1.136,0
37,1,forced,2,18,motor,3,3,1,1,1.100,1.013,0
37,1,forced,2,19,motor,5,5,1,1,0.800,0.720,0
37,1,forced,2,20,motor,4,4,1,1,0.800,0.705,0
37,1,forced,5,1,learn,7,7,0,0,1.200,0.593,0
37,1,forced,5,2,learn,1,1,1,1,1,0.928,0
37,1,forced,5,3,learn,6,6,0,0,0.500,0.847,0
37,1,forced,5,4,learn,7,8,0,0,0.100,0.684,0
37,1,forced,5,5,learn,2,2,0,0,0.200,0.761,0
37,1,forced,5,6,learn,1,1,0,0,0.400,0.681,0
37,1,forced,5,7,learn,1,1,1,1,0.600,0.586,0
37,1,forced,5,8,learn,2,2,1,1,0.700,0.624,0
37,1,forced,5,9,learn,2,2,1,1,1.200,1.156,0
37,1,forced,5,10,learn,6,6,0,0,0.200,0.475,0
37,1,forced,5,11,learn,4,5,0,0,0.100,0.654,0
37,1,forced,5,12,learn,4,4,1,1,0.700,0.698,0
37,1,forced,5,13,learn,3,2,0,0,0.100,0.305,0
37,1,forced,5,14,learn,4,3,0,0,0.400,0.535,0
37,1,forced,5,15,learn,2,2,1,1,0.700,0.710,0
