id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
38,2,forced,2,1,motor,5,5,0,0,1.200,1.057,0
38,2,forced,2,2,motor,4,4,0,0,0.900,0.734,0
38,2,forced,2,3,motor,1,1,1,1,0.500,0.508,0
38,2,forced,2,4,motor,7,7,0,0,0.800,0.666,0
38,2,forced,2,5,motor,2,3,0,0,0.100,0.299,0
38,2,forced,2,6,motor,8,7,0,0,0.100,0.259,0
38,2,forced,2,7,motor,1,1,0,0,1.200,1.051,0
38,2,forced,2,8,motor,1,2,0,0,0.200,0.304,0
38,2,forced,2,9,motor,4,3,0,1,0.500,0.476,0
38,2,forced,2,10,motor,1,1,1,1,1,0.934,0
38,2,forced,2,11,motor,3,3,0,0,0.300,0.430,0
38,2,forced,2,12,motor,3,3,1,1,0.600,0.563,0
38,2,forced,2,13,motor,8,8,1,1,1,0.918,0
38,2,forced,2,14,motor,2,2,0,0,0.200,0.440,0
38,2,forced,2,15,motor,7,7,1,1,0.900,0.891,0
38,2,forced,2,16,motor,3,2,0,0,0.200,0.332,0
38,2,forced,2,17,motor,6,6,1,1,0.800,0.797,0
38,2,forced,2,18,motor,1,1,1,1,0.600,0.544,0
38,2,forced,2,19,motor,6,6,1,1,0.500,0.478,0
38,2,forced,2,20,motor,4,4,1,1,0.900,0.906,0
38,2,forced,5,1,learn,5,5,1,1,1.200,1.216,0
38,2,forced,5,2,learn,5,5,0,0,0.900,0.705,0
38,2,forced,5,3,learn,7,7,1,1,0.500,0.557,0
38,2,forced,5,4,learn,5,5,1,1,0.800,0.772,0
38,2,forced,5,5,learn,7,7,0,0,0.100,0.590,0
38,2,forced,5,6,learn,2,4,0,0,0.100,0.769,0
38,2,forced,5,7,learn,5,5,1,1,1.200,1.114,0
38,2,forced,5,8,learn,5,5,0,0,0.200,0.431,0
38,2,forced,5,9,learn,2,2,0,0,0.500,0.698,0
38,2,forced,5,10,learn,8,4,0,1,1,0.963,0
38,2,forced,5,11,learn,3,4,0,0,0.300,0.649,0
38,2,forced,5,12,learn,5,5,0,0,0.600,0.844,0
38,2,forced,5,13,learn,4,3,0,0,1,1.422,0
38,2,forced,5,14,learn,7,3,0,0,0.200,0.721,0
38,2,forced,5,15,learn,2,2,0,0,0.900,1.159,0
38,2,forced,5,16,learn,7,7,0,0,0.200,0.661,0
38,2,forced,5,17,learn,7,7,1,1,0.800,0.840,0
38,2,forced,5,18,learn,4,3,0,1,0.600,0.647,0
38,2,forced,5,19,learn,8,7,0,1,0.500,0.593,0
38,2,forced,5,20,learn,3,3,1,1,0.900,0.949,0
38,2,forced,5,21,learn,6,6,1,1,0.700,0.775,0
38,2,forced,5,22,learn,2,3,0,1,0.600,0.615,0
38,2,forced,5,23,learn,6,6,1,1,0.900,0.830,0
38,2,forced,5,24,learn,6,7,0,0,0.100,0.444,0
38,2,forced,5,25,learn,1,4,0,0,0.400,0.670,0
