rt,responses,time_elapsed,subject,prolificID,demoID,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
null,,3048849,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1533,,3050392,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,65,img/o_t_dots.png,65,test,1,349,1,,,,"pattern,color,shape"
null,,3051402,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
707,,3052121,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,65,img/o_t_dots.png,65,test,1,350,1,,,,"pattern,color,shape"
null,,3053133,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1199,,3054343,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/b_t_check.png,75,test,7,351,0,,,,"pattern,color,shape"
null,,3055356,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
2078,,3057446,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,76,img/b_d_check.png,74,test,6,352,0,,,,"pattern,color,shape"
null,,3058457,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1438,,3059907,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,70,img/b_t_dots.png,70,test,4,353,1,,,,"pattern,color,shape"
null,,3060920,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
782,,3061712,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,68,img/o_t_check.png,68,test,3,354,1,,,,"pattern,color,shape"
null,,3062724,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1169,,3063904,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/o_d_dots.png,76,test,8,355,0,,,,"pattern,color,shape"
null,,3064917,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1926,,3066854,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,68,img/o_t_check.png,68,test,3,356,1,,,,"pattern,color,shape"
null,,3067866,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
2019,,3069897,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,83,img/o_d_dots.png,76,test,8,357,0,,,,"pattern,color,shape"
null,,3070910,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
1536,,3072457,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,74,img/b_t_check.png,75,test,7,358,0,,,,"pattern,color,shape"
null,,3073469,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
974,,3074455,FlatDy0b0gla92,vx79du4x2b,msl000833,rl,72,img/o_d_check.png,72,test,5,359,1,,,,"pattern,color,shape"
null,,3075468,FlatDy0b0gla92,vx79du4x2b,msl000833,feedback,null,,na,test,,,,,,,
