"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"761","","115304","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","70","img/motor_4.png","70","motor","4","23","1","0","0","",""
"null","","115414","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_4.png","70","motor","","","","","","",""
"631","","116055","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","72","img/motor_5.png","72","motor","5","24","1","0","0","",""
"null","","116164","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_5.png","72","motor","","","","","","",""
"477","","116649","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","76","img/motor_8.png","76","motor","8","25","1","0","0","",""
"null","","116759","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_8.png","76","motor","","","","","","",""
"455","","117223","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","65","img/motor_1.png","65","motor","1","26","1","0","0","",""
"null","","117330","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_1.png","65","motor","","","","","","",""
"512","","117851","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","76","img/motor_8.png","76","motor","8","27","1","0","0","",""
"null","","117961","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_8.png","76","motor","","","","","","",""
"439","","118407","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","76","img/motor_8.png","76","motor","8","28","1","0","0","",""
"null","","118518","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_8.png","76","motor","","","","","","",""
"538","","119064","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","75","img/motor_7.png","75","motor","7","29","1","0","0","",""
"null","","119174","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_7.png","75","motor","","","","","","",""
"416","","119598","FlatDye8m8s8xp","1zyv7sutrb","msl000524","motor","76","img/motor_8.png","76","motor","8","30","1","0","0","",""
"null","","119707","FlatDye8m8s8xp","1zyv7sutrb","msl000524","iti","null","img/motor_8.png","76","motor","","","","","","",""
