"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","70194","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_3.png","68","motor","","","","","","",""
"436","","70637","FlatDy5ddo342t","quq75twwov","msl000489","motor","83","img/motor_2.png","83","motor","2","25","1","0","0","",""
"null","","70747","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_2.png","83","motor","","","","","","",""
"319","","71073","FlatDy5ddo342t","quq75twwov","msl000489","motor","68","img/motor_3.png","68","motor","3","26","1","0","0","",""
"null","","71183","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_3.png","68","motor","","","","","","",""
"392","","71585","FlatDy5ddo342t","quq75twwov","msl000489","motor","65","img/motor_1.png","65","motor","1","27","1","0","0","",""
"null","","71696","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_1.png","65","motor","","","","","","",""
"454","","72160","FlatDy5ddo342t","quq75twwov","msl000489","motor","65","img/motor_1.png","65","motor","1","28","1","0","0","",""
"null","","72270","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_1.png","65","motor","","","","","","",""
"507","","72786","FlatDy5ddo342t","quq75twwov","msl000489","motor","72","img/motor_5.png","72","motor","5","29","1","0","0","",""
"null","","72897","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_5.png","72","motor","","","","","","",""
"487","","73393","FlatDy5ddo342t","quq75twwov","msl000489","motor","74","img/motor_7.png","75","motor","7","30","0","1","0","",""
"696","","74099","FlatDy5ddo342t","quq75twwov","msl000489","motorRepeat","75","img/motor_7.png","75","motor","7","30","1","0","0","",""
"null","","74208","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_7.png","75","motor","","","","","","",""
"511","","74726","FlatDy5ddo342t","quq75twwov","msl000489","motor","83","img/motor_2.png","83","motor","2","31","1","0","0","",""
"null","","74836","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_2.png","83","motor","","","","","","",""
"440","","75284","FlatDy5ddo342t","quq75twwov","msl000489","motor","75","img/motor_7.png","75","motor","7","32","1","0","0","",""
"null","","75392","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_7.png","75","motor","","","","","","",""
"511","","75915","FlatDy5ddo342t","quq75twwov","msl000489","motor","70","img/motor_4.png","70","motor","4","33","1","0","0","",""
"null","","76027","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_4.png","70","motor","","","","","","",""
"448","","76485","FlatDy5ddo342t","quq75twwov","msl000489","motor","75","img/motor_6.png","74","motor","6","34","0","1","0","",""
"323","","76817","FlatDy5ddo342t","quq75twwov","msl000489","motorRepeat","74","img/motor_6.png","74","motor","6","34","1","0","0","",""
"null","","76928","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_6.png","74","motor","","","","","","",""
"526","","77462","FlatDy5ddo342t","quq75twwov","msl000489","motor","72","img/motor_5.png","72","motor","5","35","1","0","0","",""
"null","","77574","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_5.png","72","motor","","","","","","",""
"478","","78060","FlatDy5ddo342t","quq75twwov","msl000489","motor","75","img/motor_7.png","75","motor","7","36","1","0","0","",""
"null","","78169","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_7.png","75","motor","","","","","","",""
"440","","78618","FlatDy5ddo342t","quq75twwov","msl000489","motor","83","img/motor_2.png","83","motor","2","37","1","0","0","",""
"null","","78728","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_2.png","83","motor","","","","","","",""
"453","","79189","FlatDy5ddo342t","quq75twwov","msl000489","motor","70","img/motor_4.png","70","motor","4","38","1","0","0","",""
"null","","79300","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_4.png","70","motor","","","","","","",""
"419","","79728","FlatDy5ddo342t","quq75twwov","msl000489","motor","75","img/motor_7.png","75","motor","7","39","1","0","0","",""
"null","","79837","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_7.png","75","motor","","","","","","",""
"660","","80506","FlatDy5ddo342t","quq75twwov","msl000489","motor","74","img/motor_6.png","74","motor","6","40","1","0","0","",""
"null","","80613","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_6.png","74","motor","","","","","","",""
"456","","81077","FlatDy5ddo342t","quq75twwov","msl000489","motor","70","img/motor_4.png","70","motor","4","41","1","0","0","",""
"null","","81185","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_4.png","70","motor","","","","","","",""
"381","","81574","FlatDy5ddo342t","quq75twwov","msl000489","motor","68","img/motor_3.png","68","motor","3","42","1","0","0","",""
"null","","81684","FlatDy5ddo342t","quq75twwov","msl000489","iti","null","img/motor_3.png","68","motor","","","","","","",""
"412","","82106","FlatDy5ddo342t","quq75twwov","msl000489","motor","75","img/motor_7.png","75","motor","7","43","1","0","0","",""
