"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"1266","","2290250","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","83","img/p_s_stripes.png","65","test","1","331","0","","","","pattern,color,shape"
"null","","2291259","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1336","","2292607","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","74","img/b_s_dots.png","74","test","6","332","1","","","","pattern,color,shape"
"null","","2293619","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1841","","2295471","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","75","img/b_s_stripes.png","75","test","7","333","1","","","","pattern,color,shape"
"null","","2296484","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2264","","2298758","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","70","img/p_s_dots.png","83","test","2","334","0","","","","pattern,color,shape"
"null","","2299766","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"584","","2300358","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","65","img/p_s_dots.png","83","test","2","335","0","","","","pattern,color,shape"
"null","","2301371","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1195","","2302577","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","70","img/p_c_dots.png","70","test","4","336","1","","","","pattern,color,shape"
"null","","2303589","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2130","","2305727","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","76","img/b_c_dots.png","76","test","8","337","1","","","","pattern,color,shape"
"null","","2306736","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1267","","2308012","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","70","img/p_c_dots.png","70","test","4","338","1","","","","pattern,color,shape"
"null","","2309024","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"972","","2310007","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","76","img/b_c_dots.png","76","test","8","339","1","","","","pattern,color,shape"
"null","","2311018","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2342","","2313371","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","75","img/b_s_stripes.png","75","test","7","340","1","","","","pattern,color,shape"
"null","","2314379","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"null","","2316889","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","null","img/b_c_stripes.png","68","test","3","341","0","","","","pattern,color,shape"
"null","","2317898","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1174","","2319082","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","70","img/p_c_stripes.png","72","test","5","342","0","","","","pattern,color,shape"
"null","","2320091","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"null","","2322600","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","null","img/b_s_dots.png","74","test","6","343","0","","","","pattern,color,shape"
"null","","2323608","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1720","","2325335","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","83","img/p_s_dots.png","83","test","2","344","1","","","","pattern,color,shape"
"null","","2326343","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"802","","2327152","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","75","img/b_s_stripes.png","75","test","7","345","1","","","","pattern,color,shape"
"null","","2328158","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1834","","2330001","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","65","img/p_s_stripes.png","65","test","1","346","1","","","","pattern,color,shape"
"null","","2331008","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1645","","2332660","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","74","img/b_s_dots.png","74","test","6","347","1","","","","pattern,color,shape"
"null","","2333669","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"null","","2336178","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","null","img/p_c_stripes.png","72","test","5","348","0","","","","pattern,color,shape"
"null","","2337187","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2236","","2339434","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","72","img/b_c_dots.png","76","test","8","349","0","","","","pattern,color,shape"
"null","","2340446","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2026","","2342482","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","65","img/p_s_stripes.png","65","test","1","350","1","","","","pattern,color,shape"
"null","","2343492","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"2090","","2345593","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","72","img/p_c_dots.png","70","test","4","351","0","","","","pattern,color,shape"
"null","","2346606","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"null","","2349119","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","null","img/b_c_dots.png","76","test","8","352","0","","","","pattern,color,shape"
"null","","2350126","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1702","","2351838","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","68","img/b_c_stripes.png","68","test","3","353","1","","","","pattern,color,shape"
"null","","2352850","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"1257","","2354116","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","68","img/b_c_stripes.png","68","test","3","354","1","","","","pattern,color,shape"
"null","","2355128","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
"991","","2356130","FlatDye7prf82r","6tb93qh6xt","msl000799","rl","72","img/p_c_stripes.png","72","test","5","355","1","","","","pattern,color,shape"
"null","","2357142","FlatDye7prf82r","6tb93qh6xt","msl000799","feedback","null","","na","test","","","","","","",""
