id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
03,1,forced,2,1,motor,4,4,0,0,1.200,0.508,0
03,1,forced,2,2,motor,7,7,1,1,0.400,0.434,0
03,1,forced,2,3,motor,1,1,1,1,0.200,0.270,0
03,1,forced,2,4,motor,3,3,0,0,0.200,0.428,0
03,1,forced,2,5,motor,6,6,1,1,0.700,0.747,0
03,1,forced,2,6,motor,1,1,0,0,0.900,1.006,0
03,1,forced,2,7,motor,3,3,0,0,1,0.851,0
03,1,forced,2,8,motor,1,1,1,1,0.900,0.946,0
03,1,forced,2,9,motor,1,1,1,1,0.300,0.342,0
03,1,forced,2,10,motor,8,8,1,1,1.100,1.119,0
03,1,forced,2,11,motor,6,6,0,0,0.200,0.452,0
03,1,forced,2,12,motor,5,5,1,1,0.500,0.495,0
03,1,forced,2,13,motor,5,5,1,1,0.400,0.462,0
03,1,forced,2,14,motor,8,8,1,1,0.300,0.381,0
03,1,forced,2,15,motor,8,8,1,1,0.900,0.900,0
03,1,forced,2,16,motor,1,1,0,0,0.200,0.338,0
03,1,forced,2,17,motor,5,5,1,1,0.500,0.494,0
03,1,forced,2,18,motor,7,7,0,0,0.900,0.764,0
03,1,forced,2,19,motor,3,3,0,0,1.200,1.354,0
03,1,forced,2,20,motor,5,5,0,0,0.500,0.691,0
03,1,forced,5,1,learn,4,1,0,0,1.200,1.940,0
03,1,forced,5,2,learn,8,8,0,0,0.400,0.673,0
03,1,forced,5,3,learn,1,1,0,0,0.200,0.582,0
03,1,forced,5,4,learn,4,7,0,0,0.200,0.586,0
03,1,forced,5,5,learn,7,2,0,0,0.700,0.887,0
03,1,forced,5,6,learn,3,3,0,0,0.900,1.028,0
03,1,forced,5,7,learn,3,3,0,0,1,0.692,0
03,1,forced,5,8,learn,5,5,0,0,0.900,0.721,0
03,1,forced,5,9,learn,2,1,0,0,0.300,0.687,0
03,1,forced,5,10,learn,8,8,1,1,1.100,1.061,0
03,1,forced,5,11,learn,4,2,0,0,0.200,0.595,0
03,1,forced,5,12,learn,2,1,0,0,0.500,0.887,0
03,1,forced,5,13,learn,6,3,0,0,0.400,0.760,0
03,1,forced,5,14,learn,6,3,0,0,0.300,0.569,0
03,1,forced,5,15,learn,1,1,0,0,0.900,1.009,0
03,1,forced,5,16,learn,7,6,0,0,0.200,0.601,0
03,1,forced,5,17,learn,7,6,0,0,0.500,0.627,0
03,1,forced,5,18,learn,4,3,0,1,0.900,0.994,0
03,1,forced,5,19,learn,5,8,0,0,1.200,1.319,0
03,1,forced,5,20,learn,7,2,0,0,0.500,0.903,0
03,1,forced,5,21,learn,8,8,0,0,0.500,0.603,0
03,1,forced,5,22,learn,7,6,0,1,1.100,1.078,0
03,1,forced,5,23,learn,7,7,0,0,0.300,0.427,0
03,1,forced,5,24,learn,1,1,1,1,0.600,0.693,0
03,1,forced,5,25,learn,2,3,0,0,0.300,0.806,0
03,1,forced,5,26,learn,6,3,0,0,0.200,0.861,0
03,1,forced,5,27,learn,5,5,0,0,0.400,0.559,0
03,1,forced,5,28,learn,8,8,0,0,1,0.770,0
03,1,forced,5,29,learn,2,2,0,0,1.100,0.889,0
03,1,forced,5,30,learn,5,5,1,1,0.500,0.558,0
03,1,forced,5,31,learn,7,7,0,0,1.200,1.299,0
03,1,forced,5,32,learn,7,7,0,0,1,0.848,0
03,1,forced,5,33,learn,2,2,1,1,0.900,0.931,0
03,1,forced,5,34,learn,2,2,1,1,1.200,1.191,0
03,1,forced,5,35,learn,6,6,0,0,0.900,1.014,0
03,1,forced,5,36,learn,2,2,0,0,1,1.108,0
03,1,forced,5,37,learn,6,2,0,0,0.100,0.479,0
