"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"1514","1516","HierDy9qr6qlxa","sub22","10","06","","","","","","","","","",""
"","3480","HierDy9qr6qlxa","sub22","10","06","fullscreen","","","","","","","","",""
"1033.5","4514","HierDy9qr6qlxa","sub22","10","06","","prac","","","","","","","",""
"7903.10000000149","12419","HierDy9qr6qlxa","sub22","10","06","","","32","","","","","","",""
"3177.60000000149","15597","HierDy9qr6qlxa","sub22","10","06","","prac","","","","","","","",""
"1210.699999999255","16809","HierDy9qr6qlxa","sub22","10","06","rl","test","83","img/b_s_stripes.png","2","83","shape,pattern,color","1","1",""
"null","17812","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","1","",""
"1438.300000000745","19251","HierDy9qr6qlxa","sub22","10","06","rl","test","74","img/b_t_stripes.png","6","74","shape,pattern,color","2","1",""
"null","20256","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","2","",""
"669.8999999985099","20926","HierDy9qr6qlxa","sub22","10","06","rl","test","72","img/p_t_stripes.png","5","72","shape,pattern,color","3","1",""
"null","21932","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","3","",""
"835","22768","HierDy9qr6qlxa","sub22","10","06","rl","test","75","img/p_t_check.png","7","75","shape,pattern,color","4","1",""
"null","23777","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","4","",""
"878.7000000029802","24656","HierDy9qr6qlxa","sub22","10","06","rl","test","70","img/b_s_check.png","4","70","shape,pattern,color","5","1",""
"null","25664","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","5","",""
"1087.8999999985099","26753","HierDy9qr6qlxa","sub22","10","06","rl","test","68","img/p_s_check.png","3","68","shape,pattern,color","6","1",""
"null","27761","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","6","",""
"786.5999999977648","28548","HierDy9qr6qlxa","sub22","10","06","rl","test","65","img/p_s_stripes.png","1","65","shape,pattern,color","7","1",""
"null","29557","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","7","",""
"893.8000000007451","30452","HierDy9qr6qlxa","sub22","10","06","rl","test","76","img/b_t_check.png","8","76","shape,pattern,color","8","1",""
"null","31456","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","8","",""
"957.9000000022352","32415","HierDy9qr6qlxa","sub22","10","06","rl","test","68","img/p_s_check.png","3","68","shape,pattern,color","9","1",""
"null","33417","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","9","",""
"889.3999999985099","34308","HierDy9qr6qlxa","sub22","10","06","rl","test","76","img/b_t_check.png","8","76","shape,pattern,color","10","1",""
"null","35314","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","10","",""
"854.3000000007451","36169","HierDy9qr6qlxa","sub22","10","06","rl","test","83","img/b_s_stripes.png","2","83","shape,pattern,color","11","1",""
"null","37179","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","11","",""
"838.5","38019","HierDy9qr6qlxa","sub22","10","06","rl","test","72","img/p_t_stripes.png","5","72","shape,pattern,color","12","1",""
"null","39025","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","12","",""
"1010.1000000014901","40037","HierDy9qr6qlxa","sub22","10","06","rl","test","74","img/b_t_stripes.png","6","74","shape,pattern,color","13","1",""
"null","41043","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","13","",""
"924","41968","HierDy9qr6qlxa","sub22","10","06","rl","test","75","img/p_t_check.png","7","75","shape,pattern,color","14","1",""
"null","42980","HierDy9qr6qlxa","sub22","10","06","feedback","test","null","","","na","","14","",""
