id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
17,5,forced,2,1,motor,7,7,0,0,1.200,1.760,0
17,5,forced,2,2,motor,4,4,0,0,1.100,0.894,0
17,5,forced,2,3,motor,6,7,0,1,0.300,0.266,0
17,5,forced,2,4,motor,2,2,0,0,1.200,1.074,0
17,5,forced,2,5,motor,4,4,0,0,1.200,1.022,0
17,5,forced,2,6,motor,1,1,1,1,0.500,0.425,0
17,5,forced,2,7,motor,1,1,0,0,0.100,0.257,0
17,5,forced,2,8,motor,6,6,0,0,1.200,1.028,0
17,5,forced,2,9,motor,2,2,0,0,1.200,1.070,0
17,5,forced,2,10,motor,8,7,0,1,0.900,0.806,0
17,5,forced,2,11,motor,7,7,1,1,0.700,0.657,0
17,5,forced,2,12,motor,3,3,0,0,0.100,0.329,0
17,5,forced,2,13,motor,6,6,1,1,0.700,0.641,0
17,5,forced,2,14,motor,6,6,0,0,0.900,0.782,0
17,5,forced,2,15,motor,8,8,1,1,0.700,0.623,0
17,5,forced,2,16,motor,5,5,1,1,0.600,0.514,0
17,5,forced,2,17,motor,7,7,0,0,1.100,0.950,0
17,5,forced,2,18,motor,8,8,0,0,0.400,0.547,0
17,5,forced,2,19,motor,1,1,1,1,0.300,0.252,0
17,5,forced,2,20,motor,6,6,1,1,0.600,0.568,0
17,5,forced,5,1,learn,4,4,0,0,1.200,1.587,0
17,5,forced,5,2,learn,4,4,0,0,1.100,0.912,0
17,5,forced,5,3,learn,1,1,0,0,0.300,0.474,0
17,5,forced,5,4,learn,6,6,1,1,1.200,1.139,0
17,5,forced,5,5,learn,5,5,1,1,1.200,1.115,0
17,5,forced,5,6,learn,2,3,0,0,0.500,0.665,0
17,5,forced,5,7,learn,8,2,0,0,0.100,0.369,0
17,5,forced,5,8,learn,1,1,1,1,1.200,1.088,0
17,5,forced,5,9,learn,3,3,1,1,1.200,1.085,0
17,5,forced,5,10,learn,4,4,1,1,0.900,0.863,0
17,5,forced,5,11,learn,7,7,1,1,0.700,0.640,0
17,5,forced,5,12,learn,8,7,0,0,0.100,0.503,0
17,5,forced,5,13,learn,5,5,0,0,0.700,0.878,0
17,5,forced,5,14,learn,3,7,0,1,0.900,0.854,0
17,5,forced,5,15,learn,5,6,0,1,0.700,0.754,0
17,5,forced,5,16,learn,5,1,0,1,0.600,0.593,0
17,5,forced,5,17,learn,8,8,1,1,1.100,1.002,0
17,5,forced,5,18,learn,7,7,0,0,0.400,0.530,0
17,5,forced,5,19,learn,7,5,0,1,0.300,0.275,0
17,5,forced,5,20,learn,2,1,0,1,0.600,0.682,0
17,5,forced,5,21,learn,8,4,0,1,1.100,1.161,0
17,5,forced,5,22,learn,2,3,0,0,0.200,0.614,0
17,5,forced,5,23,learn,3,3,0,0,1.200,1.389,0
17,5,forced,5,24,learn,7,7,0,0,0.700,0.856,0
17,5,forced,5,25,learn,1,6,0,0,0.300,0.678,0
17,5,forced,5,26,learn,6,8,0,0,0.500,0.736,0
17,5,forced,5,27,learn,7,7,0,0,0.500,0.759,0
17,5,forced,5,28,learn,8,8,1,1,1.100,1.002,0
17,5,forced,5,29,learn,5,5,0,0,1.100,0.938,0
17,5,forced,5,30,learn,1,6,0,1,0.200,0.165,0
17,5,forced,5,31,learn,5,5,0,0,0.700,0.977,0
17,5,forced,5,32,learn,7,7,1,1,0.600,0.595,0
17,5,forced,5,33,learn,5,5,1,1,0.800,0.821,0
17,5,forced,5,34,learn,8,8,0,0,0.900,0.692,0
