id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
3,3,forced,2,1,motor,4,4,0,0,1.200,1.511,0
3,3,forced,2,2,motor,6,6,0,0,0.500,0.787,0
3,3,forced,2,3,motor,4,4,0,0,0.500,0.355,0
3,3,forced,2,4,motor,8,7,0,1,0.300,0.259,0
3,3,forced,2,5,motor,2,2,1,1,1.200,1.084,0
3,3,forced,2,6,motor,5,5,1,1,0.600,0.533,0
3,3,forced,2,7,motor,5,6,0,1,0.100,0.179,0
3,3,forced,2,8,motor,2,2,1,1,0.500,0.536,0
3,3,forced,2,9,motor,4,4,0,0,0.900,0.786,0
3,3,forced,2,10,motor,5,5,1,1,0.800,0.763,0
3,3,forced,2,11,motor,6,6,1,1,0.600,0.623,0
3,3,forced,2,12,motor,5,6,0,0,0.200,0.405,0
3,3,forced,2,13,motor,7,7,1,1,1,0.945,0
3,3,forced,2,14,motor,5,5,1,1,0.600,0.615,0
3,3,forced,2,15,motor,4,5,0,0,0.100,0.207,0
3,3,forced,2,16,motor,2,2,0,0,0.300,0.436,0
3,3,forced,2,17,motor,3,3,0,0,1.100,0.946,0
3,3,forced,2,18,motor,7,7,1,1,1,0.931,0
3,3,forced,2,19,motor,2,2,1,1,0.400,0.442,0
3,3,forced,2,20,motor,8,8,0,0,1.200,1.055,0
3,3,forced,5,1,learn,2,1,0,1,1.200,1.119,0
3,3,forced,5,2,learn,3,3,0,0,0.500,0.662,0
3,3,forced,5,3,learn,6,6,0,0,0.500,0.613,0
3,3,forced,5,4,learn,8,5,0,0,0.300,0.433,0
3,3,forced,5,5,learn,5,5,1,1,1.200,1.121,0
3,3,forced,5,6,learn,7,6,0,1,0.600,0.698,0
3,3,forced,5,7,learn,1,1,0,0,0.100,0.856,0
3,3,forced,5,8,learn,8,6,0,0,0.500,0.651,0
3,3,forced,5,9,learn,8,8,0,0,0.900,0.784,0
3,3,forced,5,10,learn,3,3,1,1,0.800,0.847,0
3,3,forced,5,11,learn,3,3,1,1,0.600,0.615,0
3,3,forced,5,12,learn,7,6,0,0,0.200,0.378,0
3,3,forced,5,13,learn,6,5,0,1,1,1.019,0
3,3,forced,5,14,learn,4,3,0,1,0.600,0.640,0
3,3,forced,5,15,learn,6,4,0,0,0.100,0.205,0
3,3,forced,5,16,learn,6,5,0,1,0.300,0.327,0
3,3,forced,5,17,learn,4,4,1,1,1.100,1.032,0
3,3,forced,5,18,learn,8,8,1,1,1,1.010,0
3,3,forced,5,19,learn,2,1,0,0,0.400,0.657,0
3,3,forced,5,20,learn,7,7,1,1,1.200,1.153,0
3,3,forced,5,21,learn,7,7,0,0,0.400,0.582,0
3,3,forced,5,22,learn,2,2,1,1,1.200,1.125,0
3,3,forced,5,23,learn,1,6,0,1,1,0.995,0
3,3,forced,5,24,learn,8,6,0,1,1,1.085,0
3,3,forced,5,25,learn,3,4,0,0,1.200,1.330,0
3,3,forced,5,26,learn,8,6,0,1,0.900,0.850,0
3,3,forced,5,27,learn,1,1,0,0,1.200,1.078,0
3,3,forced,5,28,learn,3,3,1,1,1.200,1.120,0
3,3,forced,5,29,learn,7,6,0,1,0.700,0.758,0
3,3,forced,5,30,learn,5,6,0,0,0.600,0.742,0
3,3,forced,5,31,learn,1,2,0,0,0.700,0.919,0
3,3,forced,5,32,learn,4,4,1,1,0.600,0.634,0
3,3,forced,5,33,learn,1,2,0,1,0.500,0.573,0
3,3,forced,5,34,learn,2,2,0,0,0.800,0.688,0
3,3,forced,5,35,learn,1,3,0,0,0.600,0.752,0
3,3,forced,5,36,learn,6,6,0,0,0.500,0.652,0
3,3,forced,5,37,learn,4,4,0,0,0.300,0.566,0
3,3,forced,5,38,learn,3,3,0,0,1.100,0.953,0
3,3,forced,5,39,learn,2,2,1,1,1.200,1.181,0
3,3,forced,5,40,learn,3,3,1,1,0.700,0.734,0
3,3,forced,5,41,learn,5,5,0,0,1.100,1.225,0
3,3,forced,5,42,learn,4,4,1,1,0.800,0.714,0
3,3,forced,5,43,learn,5,5,0,0,0.500,0.608,0
3,3,forced,5,44,learn,7,5,0,1,1,0.973,0
3,3,forced,5,45,learn,4,4,1,1,1.200,1.157,0
3,3,forced,5,46,learn,8,5,0,0,0.200,0.470,0
3,3,forced,5,47,learn,5,6,0,0,0.300,0.593,0
3,3,forced,5,48,learn,5,5,1,1,0.800,0.754,0
3,3,forced,5,49,learn,7,7,0,0,0.700,0.840,0
