id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,t_reaction,attempt_number,iter
16,1,free,1,1,motor,8,8,1,0.573,1,0
16,1,free,1,2,motor,5,5,1,0.500,1,0
16,1,free,1,3,motor,1,1,1,0.384,1,0
16,1,free,1,4,motor,5,5,1,0.437,1,0
16,1,free,1,5,motor,2,1,0,0.301,1,0
16,1,free,1,5,motor,2,2,1,0.266,2,0
16,1,free,1,6,motor,5,5,1,0.544,1,0
16,1,free,1,7,motor,4,4,1,0.614,1,0
16,1,free,1,8,motor,4,4,1,0.920,1,0
16,1,free,1,9,motor,8,8,1,0.460,1,0
16,1,free,1,10,motor,7,7,1,0.600,1,0
16,1,free,1,11,motor,3,3,1,0.862,1,0
16,1,free,1,12,motor,7,7,1,0.537,1,0
16,1,free,1,13,motor,6,6,1,0.566,1,0
16,1,free,1,14,motor,1,1,1,0.549,1,0
16,1,free,1,15,motor,8,8,1,0.537,1,0
16,1,free,1,16,motor,1,1,1,0.420,1,0
16,1,free,1,17,motor,6,6,1,0.518,1,0
16,1,free,1,18,motor,4,4,1,0.756,1,0
16,1,free,1,19,motor,1,1,1,0.513,1,0
16,1,free,1,20,motor,5,5,1,0.666,1,0
16,1,free,1,21,motor,8,8,1,0.463,1,0
16,1,free,1,22,motor,8,8,1,0.582,1,0
16,1,free,1,23,motor,4,4,1,0.641,1,0
16,1,free,1,24,motor,3,3,1,0.537,1,0
16,1,free,1,25,motor,4,4,1,0.591,1,0
16,1,free,1,26,motor,7,6,0,0.676,1,0
16,1,free,1,26,motor,7,7,1,0.282,2,0
16,1,free,1,27,motor,8,8,1,0.542,1,0
16,1,free,1,28,motor,2,2,1,0.773,1,0
16,1,free,1,29,motor,4,4,1,0.640,1,0
16,1,free,1,30,motor,3,3,1,0.724,1,0
16,1,free,1,31,motor,1,1,1,0.578,1,0
16,1,free,1,32,motor,6,6,1,0.639,1,0
16,1,free,1,33,motor,5,5,1,0.700,1,0
16,1,free,1,34,motor,1,1,1,0.503,1,0
16,1,free,1,35,motor,3,3,1,0.848,1,0
16,1,free,1,36,motor,2,2,1,0.551,1,0
16,1,free,1,37,motor,8,8,1,0.507,1,0
16,1,free,1,38,motor,7,7,1,0.585,1,0
16,1,free,1,39,motor,6,6,1,0.564,1,0
16,1,free,1,40,motor,5,5,1,0.561,1,0
16,1,free,1,41,motor,4,4,1,0.632,1,0
16,1,free,1,42,motor,1,1,1,0.522,1,0
16,1,free,1,43,motor,5,5,1,0.541,1,0
16,1,free,1,44,motor,6,6,1,0.567,1,0
16,1,free,1,45,motor,4,4,1,0.530,1,0
16,1,free,1,46,motor,6,6,1,1.011,1,0
16,1,free,1,47,motor,8,8,1,0.517,1,0
16,1,free,1,48,motor,6,6,1,0.556,1,0
16,1,free,1,49,motor,2,2,1,0.692,1,0
16,1,free,1,50,motor,4,4,1,0.561,1,0
16,1,free,1,51,motor,3,3,1,0.563,1,0
16,1,free,1,52,motor,6,6,1,0.642,1,0
16,1,free,1,53,motor,2,2,1,0.605,1,0
16,1,free,1,54,motor,4,4,1,0.541,1,0
16,1,free,1,55,motor,5,5,1,0.541,1,0
16,1,free,1,56,motor,4,4,1,0.627,1,0
16,1,free,1,57,motor,5,5,1,0.504,1,0
16,1,free,1,58,motor,4,4,1,0.435,1,0
16,1,free,1,59,motor,8,8,1,0.441,1,0
16,1,free,1,60,motor,1,1,1,0.429,1,0
16,1,free,1,61,motor,8,8,1,0.462,1,0
16,1,free,1,62,motor,4,4,1,0.596,1,0
