"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","589532","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"615","590155","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","92","1","0","0","","",""
"null","590263","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"563","590833","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","93","1","0","0","","",""
"null","590940","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"390","591339","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","94","1","0","0","","",""
"null","591445","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"523","591976","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","95","1","0","0","","",""
"null","592084","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"472","592565","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","96","1","0","0","","",""
"null","592672","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"502","593181","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","97","1","0","0","","",""
"null","593290","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"386","593684","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","98","1","0","0","","",""
"null","593793","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"490","594289","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","99","1","0","0","","",""
"null","594397","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"346","594752","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","100","1","0","0","","",""
"null","594860","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"700","595568","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","101","1","0","0","","",""
"null","595676","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"432","596115","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","102","1","0","0","","",""
"null","596222","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"466","596698","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","103","1","0","0","","",""
"null","596806","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"442","597257","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","104","1","0","0","","",""
"null","597363","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"487","597857","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","105","1","0","0","","",""
"null","597966","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"595","598569","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","106","1","0","0","","",""
"null","598677","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"368","599053","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","107","1","0","0","","",""
"null","599161","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"435","599603","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","108","1","0","0","","",""
"null","599712","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"727","600448","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","109","1","0","0","","",""
"null","600556","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"495","601058","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","110","1","0","0","","",""
"null","601166","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"159","601333","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_4.png","70","motor","4","111","0","1","0","","",""
"334","601676","HierDyjz7vkxeh","sub13","01","1","motorRepeat","70","img/motor_4.png","70","motor","4","111","1","0","0","","",""
"null","601784","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"550","602343","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","112","1","0","0","","",""
"null","602451","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"493","602951","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","113","1","0","0","","",""
"null","603059","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"429","603497","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","114","1","0","0","","",""
"null","603604","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"521","604133","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","115","1","0","0","","",""
"null","604242","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"527","604776","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","116","1","0","0","","",""
"null","604884","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"391","605283","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","117","1","0","0","","",""
"null","605391","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"543","605942","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","118","1","0","0","","",""
"null","606051","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"452","606510","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","119","1","0","0","","",""
"null","606617","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"485","607110","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","120","1","0","0","","",""
"null","607218","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"487","607711","HierDyjz7vkxeh","sub13","01","1","motor","70","img/motor_4.png","70","motor","4","121","1","0","0","","",""
"null","607820","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
