id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,t_reaction,attempt_number,iter,day
sub19,7,free,1,1,motor,1,1,1,0.594,1,0,1
sub19,7,free,1,2,motor,5,5,1,0.654,1,0,1
sub19,7,free,1,3,motor,4,4,1,0.608,1,0,1
sub19,7,free,1,4,motor,2,2,1,0.603,1,0,1
sub19,7,free,1,5,motor,3,3,1,0.541,1,0,1
sub19,7,free,1,6,motor,2,2,1,0.454,1,0,1
sub19,7,free,1,7,motor,3,3,1,0.383,1,0,1
sub19,7,free,1,8,motor,7,7,1,0.571,1,0,1
sub19,7,free,1,9,motor,8,8,1,0.483,1,0,1
sub19,7,free,1,10,motor,4,4,1,0.739,1,0,1
sub19,7,free,1,11,motor,3,3,1,0.494,1,0,1
sub19,7,free,1,12,motor,6,6,1,0.604,1,0,1
sub19,7,free,1,13,motor,4,4,1,0.586,1,0,1
sub19,7,free,1,14,motor,7,7,1,0.548,1,0,1
sub19,7,free,1,15,motor,6,6,1,0.528,1,0,1
sub19,7,free,1,16,motor,2,2,1,0.566,1,0,1
sub19,7,free,1,17,motor,4,4,1,0.538,1,0,1
sub19,7,free,1,18,motor,2,2,1,0.478,1,0,1
sub19,7,free,1,19,motor,6,6,1,0.599,1,0,1
sub19,7,free,1,20,motor,1,1,1,0.577,1,0,1
sub19,7,free,1,21,motor,8,8,1,0.469,1,0,1
sub19,7,free,1,22,motor,6,6,1,0.702,1,0,1
sub19,7,free,1,23,motor,4,4,1,0.701,1,0,1
sub19,7,free,1,24,motor,1,1,1,0.448,1,0,1
sub19,7,free,1,25,motor,1,1,1,0.411,1,0,1
sub19,7,free,1,26,motor,3,3,1,0.890,1,0,1
sub19,7,free,1,27,motor,7,7,1,0.656,1,0,1
sub19,7,free,1,28,motor,1,1,1,0.531,1,0,1
sub19,7,free,1,29,motor,2,2,1,0.619,1,0,1
sub19,7,free,1,30,motor,2,2,1,0.442,1,0,1
