"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"1087","1112","HierDyhh36kff9","sub10","10","8","","","","","","","","","","","",""
"","3346","HierDyhh36kff9","sub10","10","8","fullscreen","","","","","","","","","","",""
"54620","57976","HierDyhh36kff9","sub10","10","8","","","","","","","","","","","",""
"1660","59646","HierDyhh36kff9","sub10","10","8","motor","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","59755","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"467","60229","HierDyhh36kff9","sub10","10","8","motor","72","img/motor_5.png","72","motor","5","2","1","0","0","",""
"null","60338","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"484","60828","HierDyhh36kff9","sub10","10","8","motor","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","60937","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"424","61370","HierDyhh36kff9","sub10","10","8","motor","65","img/motor_1.png","65","motor","1","4","1","0","0","",""
"null","61481","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"802","62293","HierDyhh36kff9","sub10","10","8","motor","74","img/motor_6.png","74","motor","6","5","1","0","0","",""
"null","62402","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"389","62801","HierDyhh36kff9","sub10","10","8","motor","75","img/motor_7.png","75","motor","7","6","1","0","0","",""
"null","62909","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"582","63500","HierDyhh36kff9","sub10","10","8","motor","74","img/motor_6.png","74","motor","6","7","1","0","0","",""
"null","63609","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"603","64221","HierDyhh36kff9","sub10","10","8","motor","70","img/motor_4.png","70","motor","4","8","1","0","0","",""
"null","64329","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"783","65120","HierDyhh36kff9","sub10","10","8","motor","75","img/motor_7.png","75","motor","7","9","1","0","0","",""
"null","65229","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"407","65646","HierDyhh36kff9","sub10","10","8","motor","76","img/motor_8.png","76","motor","8","10","1","0","0","",""
"null","65754","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"471","66235","HierDyhh36kff9","sub10","10","8","motor","70","img/motor_4.png","70","motor","4","11","1","0","0","",""
"null","66344","HierDyhh36kff9","sub10","10","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"483","66835","HierDyhh36kff9","sub10","10","8","motor","74","img/motor_6.png","74","motor","6","12","1","0","0","",""
