rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
null,606228,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
515,606753,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,116,1,0,0,,,
null,606864,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
645,607522,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,117,1,0,0,,,
null,607633,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
671,608314,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,118,1,0,0,,,
null,608424,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
767,609201,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_4.png,70,motor,4,119,1,0,0,,,
null,609312,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_4.png,70,motor,,,,,,,,
817,610139,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,120,1,0,0,,,
null,610249,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
996,611255,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,121,1,0,0,,,
null,611365,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
1875,613251,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,122,1,0,0,,,
null,613361,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
751,614124,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,123,1,0,0,,,
null,614236,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
843,615088,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,124,1,0,0,,,
null,615198,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
881,616088,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,125,1,0,0,,,
null,616195,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
1195,617400,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,126,1,0,0,,,
null,617511,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
