"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","216457","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"512","216979","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","52","1","0","0","","",""
"null","217090","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"543","217641","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","53","1","0","0","","",""
"null","217751","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"437","218198","HierDyvyunofds","01","01","1","motor","75","img/motor_7.png","75","motor","7","54","1","0","0","","",""
"null","218310","HierDyvyunofds","01","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"437","218754","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","55","1","0","0","","",""
"null","218866","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"398","219274","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","56","1","0","0","","",""
"null","219382","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"553","219945","HierDyvyunofds","01","01","1","motor","68","img/motor_3.png","68","motor","3","57","1","0","0","","",""
"null","220056","HierDyvyunofds","01","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"476","220541","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","58","1","0","0","","",""
"null","220651","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"482","221143","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","59","1","0","0","","",""
"null","221253","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"670","221934","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","60","1","0","0","","",""
"null","222046","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"552","222609","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","61","1","0","0","","",""
"null","222720","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"536","223267","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","62","1","0","0","","",""
"null","223379","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"754","224142","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","63","1","0","0","","",""
"null","224253","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"525","224788","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","64","1","0","0","","",""
"null","224900","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"446","225356","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","65","1","0","0","","",""
"null","225466","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"443","225919","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","66","1","0","0","","",""
"null","226032","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"470","226514","HierDyvyunofds","01","01","1","motor","72","img/motor_5.png","72","motor","5","67","1","0","0","","",""
"null","226625","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"430","227066","HierDyvyunofds","01","01","1","motor","70","img/motor_4.png","70","motor","4","68","1","0","0","","",""
"null","227176","HierDyvyunofds","01","01","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"368","227556","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","69","1","0","0","","",""
"null","227667","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"370","228046","HierDyvyunofds","01","01","1","motor","70","img/motor_1.png","65","motor","1","70","0","1","0","","",""
"536","228592","HierDyvyunofds","01","01","1","motorRepeat","65","img/motor_1.png","65","motor","1","70","1","0","0","","",""
"null","228701","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"730","229439","HierDyvyunofds","01","01","1","motor","70","img/motor_5.png","72","motor","5","71","0","1","0","","",""
"437","229886","HierDyvyunofds","01","01","1","motorRepeat","72","img/motor_5.png","72","motor","5","71","1","0","0","","",""
"null","229996","HierDyvyunofds","01","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"404","230409","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","72","1","0","0","","",""
"null","230519","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"605","231133","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","73","1","0","0","","",""
"null","231245","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"670","231922","HierDyvyunofds","01","01","1","motor","74","img/motor_6.png","74","motor","6","74","1","0","0","","",""
"null","232033","HierDyvyunofds","01","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"484","232527","HierDyvyunofds","01","01","1","motor","83","img/motor_2.png","83","motor","2","75","1","0","0","","",""
"null","232637","HierDyvyunofds","01","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"442","233089","HierDyvyunofds","01","01","1","motor","65","img/motor_1.png","65","motor","1","76","1","0","0","","",""
"null","233199","HierDyvyunofds","01","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"457","233666","HierDyvyunofds","01","01","1","motor","76","img/motor_8.png","76","motor","8","77","1","0","0","","",""
"null","233778","HierDyvyunofds","01","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"619","234405","HierDyvyunofds","01","01","1","motor","68","img/motor_3.png","68","motor","3","78","1","0","0","","",""
