"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"572","104605","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","26","1","0","0","",""
"null","104715","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"479","105203","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","27","1","0","0","",""
"null","105312","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"619","105941","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","28","1","0","0","",""
"null","106051","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"503","106564","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","29","1","0","0","",""
"null","106675","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"411","107095","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","30","1","0","0","",""
"null","107206","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"385","107599","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","31","1","0","0","",""
"null","107710","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"381","108100","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","32","1","0","0","",""
"null","108210","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"540","108759","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","33","1","0","0","",""
"null","108870","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"758","109638","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","34","1","0","0","",""
"null","109748","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"502","110260","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","35","1","0","0","",""
"null","110370","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"633","111012","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","36","1","0","0","",""
"null","111124","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"408","111541","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","37","1","0","0","",""
"null","111651","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"488","112147","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","38","1","0","0","",""
"null","112255","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"532","112797","HierDywwo7grap","02","02","8","motor","68","img/motor_4.png","70","motor","4","39","0","1","0","",""
"457","113262","HierDywwo7grap","02","02","8","motorRepeat","70","img/motor_4.png","70","motor","4","39","1","0","0","",""
"null","113373","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"819","114202","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","40","1","0","0","",""
"null","114311","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"458","114779","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","41","1","0","0","",""
"null","114890","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"472","115373","HierDywwo7grap","02","02","8","motor","83","img/motor_1.png","65","motor","1","42","0","1","0","",""
"358","115738","HierDywwo7grap","02","02","8","motorRepeat","65","img/motor_1.png","65","motor","1","42","1","0","0","",""
"null","115849","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"749","116608","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","43","1","0","0","",""
"null","116718","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"452","117179","HierDywwo7grap","02","02","8","motor","83","img/motor_2.png","83","motor","2","44","1","0","0","",""
"null","117291","HierDywwo7grap","02","02","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"456","117756","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","45","1","0","0","",""
"null","117867","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"579","118455","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","46","1","0","0","",""
"null","118566","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"413","118988","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","47","1","0","0","",""
"null","119097","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"444","119549","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","48","1","0","0","",""
"null","119661","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
