"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"11628.200000047684","11632","HierDygdavw02p","sub12","12","06","","","","","","","","","",""
"","14504","HierDygdavw02p","sub12","12","06","fullscreen","","","","","","","","",""
"1975.7000000476837","16482","HierDygdavw02p","sub12","12","06","","prac","","","","","","","",""
"1465.1000000238419","17953","HierDygdavw02p","sub12","12","06","","","32","","","","","","",""
"1603.3000000715256","19560","HierDygdavw02p","sub12","12","06","","prac","","","","","","","",""
"1103.7999999523163","20669","HierDygdavw02p","sub12","12","06","rl","test","83","img/r_t_check.png","2","83","shape,color,pattern","1","1",""
"null","21674","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","1","",""
"1060.5999999046326","22738","HierDygdavw02p","sub12","12","06","rl","test","75","img/b_d_stripes.png","7","75","shape,color,pattern","2","1",""
"null","23753","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","2","",""
"878","24634","HierDygdavw02p","sub12","12","06","rl","test","74","img/r_d_check.png","6","74","shape,color,pattern","3","1",""
"null","25650","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","3","",""
"682.6000000238419","26336","HierDygdavw02p","sub12","12","06","rl","test","68","img/b_t_stripes.png","3","68","shape,color,pattern","4","1",""
"null","27356","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","4","",""
"871","28229","HierDygdavw02p","sub12","12","06","rl","test","65","img/r_t_stripes.png","1","65","shape,color,pattern","5","1",""
"null","29236","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","5","",""
"2220.399999976158","31459","HierDygdavw02p","sub12","12","06","rl","test","70","img/b_t_check.png","4","70","shape,color,pattern","6","1",""
"null","32468","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","6","",""
"1082.5","33553","HierDygdavw02p","sub12","12","06","rl","test","74","img/r_d_check.png","6","74","shape,color,pattern","7","1",""
"null","34563","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","7","",""
"887.1000000238419","35452","HierDygdavw02p","sub12","12","06","rl","test","76","img/b_d_check.png","8","76","shape,color,pattern","8","1",""
"null","36467","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","8","",""
"1307.7999999523163","37777","HierDygdavw02p","sub12","12","06","rl","test","72","img/r_d_stripes.png","5","72","shape,color,pattern","9","1",""
"null","38788","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","9","",""
"1189.3999999761581","39981","HierDygdavw02p","sub12","12","06","rl","test","68","img/b_t_stripes.png","3","68","shape,color,pattern","10","1",""
"null","40995","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","10","",""
"964.7000000476837","41961","HierDygdavw02p","sub12","12","06","rl","test","72","img/r_d_stripes.png","5","72","shape,color,pattern","11","1",""
"null","42982","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","11","",""
"963.2000000476837","43948","HierDygdavw02p","sub12","12","06","rl","test","83","img/r_t_check.png","2","83","shape,color,pattern","12","1",""
"null","44964","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","12","",""
"818.2000000476837","45784","HierDygdavw02p","sub12","12","06","rl","test","68","img/b_t_stripes.png","3","68","shape,color,pattern","13","1",""
"null","46802","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","13","",""
"775.1000000238419","47580","HierDygdavw02p","sub12","12","06","rl","test","65","img/r_t_stripes.png","1","65","shape,color,pattern","14","1",""
"null","48599","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","14","",""
"1341.5","49943","HierDygdavw02p","sub12","12","06","rl","test","75","img/b_d_stripes.png","7","75","shape,color,pattern","15","1",""
"null","50954","HierDygdavw02p","sub12","12","06","feedback","test","null","","","na","","15","",""
