"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"11961","11986","HierDywxjna16s","sub03","03","8","","","","","","","","","","","",""
"","13700","HierDywxjna16s","sub03","03","8","fullscreen","","","","","","","","","","",""
"30276","44845","HierDywxjna16s","sub03","03","8","","","","","","","","","","","",""
"1344","46199","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","46310","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"508","46828","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","2","1","0","0","",""
"null","46940","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"519","47467","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","47579","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"484","48072","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","4","1","0","0","",""
"null","48185","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"561","48755","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","5","1","0","0","",""
"null","48866","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"425","49301","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","6","1","0","0","",""
"null","49412","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"441","49863","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","7","1","0","0","",""
"null","49974","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"473","50456","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","8","1","0","0","",""
"null","50567","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"501","51078","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","9","1","0","0","",""
"null","51187","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"413","51611","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","10","1","0","0","",""
"null","51721","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"548","52278","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","11","1","0","0","",""
"null","52389","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"453","52855","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","12","1","0","0","",""
"null","52969","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"423","53403","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","13","1","0","0","",""
"null","53514","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"421","53946","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","14","1","0","0","",""
"null","54058","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"604","54672","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","15","1","0","0","",""
"14","54782","HierDywxjna16s","sub03","03","8","iti","68","img/motor_2.png","83","motor","","","","","","",""
"748","55537","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","16","1","0","0","",""
"null","55646","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"665","56322","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","17","1","0","0","",""
"null","56433","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"459","56905","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","18","1","0","0","",""
"null","57017","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"515","57543","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","19","1","0","0","",""
"null","57653","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"405","58069","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","20","1","0","0","",""
"null","58182","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"434","58624","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","21","1","0","0","",""
"null","58737","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"415","59163","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","22","1","0","0","",""
"null","59272","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"458","59739","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","23","1","0","0","",""
"null","59851","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"297","60158","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","24","1","0","0","",""
"null","60266","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"343","60618","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","25","1","0","0","",""
"null","60728","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"525","61262","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","26","1","0","0","",""
"null","61370","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"298","61677","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","27","1","0","0","",""
"null","61785","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"542","62336","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","28","1","0","0","",""
"null","62446","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"509","62964","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","29","1","0","0","",""
"null","63073","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"629","63712","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","30","1","0","0","",""
"null","63822","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"392","64223","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","31","1","0","0","",""
"null","64334","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"500","64843","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","32","1","0","0","",""
"null","64953","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"431","65394","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","33","1","0","0","",""
"null","65503","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"471","65983","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","34","1","0","0","",""
"null","66094","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"476","66579","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","35","1","0","0","",""
"null","66690","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"412","67110","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","36","1","0","0","",""
"null","67220","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"469","67697","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","37","1","0","0","",""
"null","67808","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"519","68336","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","38","1","0","0","",""
"null","68446","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"493","68948","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","39","1","0","0","",""
"null","69058","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"608","69677","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","40","1","0","0","",""
"null","69786","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"489","70284","HierDywxjna16s","sub03","03","8","motor","68","img/motor_3.png","68","motor","3","41","1","0","0","",""
"null","70392","HierDywxjna16s","sub03","03","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"466","70868","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","42","1","0","0","",""
"null","70978","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"415","71403","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","43","1","0","0","",""
"null","71514","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"424","71948","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","44","1","0","0","",""
"null","72058","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"440","72505","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","45","1","0","0","",""
"null","72616","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"427","73051","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","46","1","0","0","",""
"null","73162","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"537","73710","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","47","1","0","0","",""
"null","73820","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"498","74328","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","48","1","0","0","",""
"null","74437","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"409","74855","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","49","1","0","0","",""
"null","74965","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"506","75481","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","50","1","0","0","",""
"null","75591","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"387","75987","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","51","1","0","0","",""
"null","76096","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"635","76740","HierDywxjna16s","sub03","03","8","motor","68","img/motor_3.png","68","motor","3","52","1","0","0","",""
"null","76850","HierDywxjna16s","sub03","03","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"353","77212","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","53","1","0","0","",""
"null","77323","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"360","77694","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","54","1","0","0","",""
"null","77806","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"482","78298","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","55","1","0","0","",""
"null","78409","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"545","78962","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","56","1","0","0","",""
"null","79073","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"589","79672","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","57","1","0","0","",""
"null","79784","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"457","80249","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","58","1","0","0","",""
"null","80360","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"709","81079","HierDywxjna16s","sub03","03","8","motor","70","img/motor_3.png","68","motor","3","59","0","1","0","",""
"407","81491","HierDywxjna16s","sub03","03","8","motorRepeat","68","img/motor_3.png","68","motor","3","59","1","0","0","",""
"null","81601","HierDywxjna16s","sub03","03","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"544","82154","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","60","1","0","0","",""
"null","82264","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"491","82764","HierDywxjna16s","sub03","03","8","motor","75","img/motor_7.png","75","motor","7","61","1","0","0","",""
"null","82875","HierDywxjna16s","sub03","03","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"613","83496","HierDywxjna16s","sub03","03","8","motor","83","img/motor_2.png","83","motor","2","62","1","0","0","",""
"null","83604","HierDywxjna16s","sub03","03","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"509","84123","HierDywxjna16s","sub03","03","8","motor","68","img/motor_3.png","68","motor","3","63","1","0","0","",""
"null","84233","HierDywxjna16s","sub03","03","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"417","84660","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","64","1","0","0","",""
"null","84771","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"700","85480","HierDywxjna16s","sub03","03","8","motor","68","img/motor_3.png","68","motor","3","65","1","0","0","",""
"null","85591","HierDywxjna16s","sub03","03","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"524","86123","HierDywxjna16s","sub03","03","8","motor","74","img/motor_6.png","74","motor","6","66","1","0","0","",""
"null","86232","HierDywxjna16s","sub03","03","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"559","86799","HierDywxjna16s","sub03","03","8","motor","70","img/motor_4.png","70","motor","4","67","1","0","0","",""
"null","86909","HierDywxjna16s","sub03","03","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"646","87563","HierDywxjna16s","sub03","03","8","motor","76","img/motor_8.png","76","motor","8","68","1","0","0","",""
"null","87673","HierDywxjna16s","sub03","03","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"423","88105","HierDywxjna16s","sub03","03","8","motor","72","img/motor_5.png","72","motor","5","69","1","0","0","",""
"null","88217","HierDywxjna16s","sub03","03","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"673","88899","HierDywxjna16s","sub03","03","8","motor","65","img/motor_1.png","65","motor","1","70","1","0","0","",""
"null","89010","HierDywxjna16s","sub03","03","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
