"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"3565","3586","HierDy7ebnejc1","sub11","11","8","","","","","","","","","","","",""
"","42765","HierDy7ebnejc1","sub11","11","8","fullscreen","","","","","","","","","","",""
"177186","219964","HierDy7ebnejc1","sub11","11","8","","","","","","","","","","","",""
"797","220777","HierDy7ebnejc1","sub11","11","8","motor","70","img/motor_4.png","70","motor","4","1","1","0","0","",""
"null","220892","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"480","221384","HierDy7ebnejc1","sub11","11","8","motor","65","img/motor_1.png","65","motor","1","2","1","0","0","",""
"null","221499","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"396","221907","HierDy7ebnejc1","sub11","11","8","motor","65","img/motor_1.png","65","motor","1","3","1","0","0","",""
"null","222021","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"617","222649","HierDy7ebnejc1","sub11","11","8","motor","72","img/motor_5.png","72","motor","5","4","1","0","0","",""
"null","222760","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"446","223217","HierDy7ebnejc1","sub11","11","8","motor","75","img/motor_8.png","76","motor","8","5","0","1","0","",""
"323","223553","HierDy7ebnejc1","sub11","11","8","motorRepeat","76","img/motor_8.png","76","motor","8","5","1","0","0","",""
"null","223665","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"433","224109","HierDy7ebnejc1","sub11","11","8","motor","72","img/motor_5.png","72","motor","5","6","1","0","0","",""
"null","224219","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"402","224630","HierDy7ebnejc1","sub11","11","8","motor","65","img/motor_1.png","65","motor","1","7","1","0","0","",""
"null","224741","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"404","225155","HierDy7ebnejc1","sub11","11","8","motor","72","img/motor_5.png","72","motor","5","8","1","0","0","",""
"null","225265","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"509","225785","HierDy7ebnejc1","sub11","11","8","motor","74","img/motor_6.png","74","motor","6","9","1","0","0","",""
"null","225895","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"585","226490","HierDy7ebnejc1","sub11","11","8","motor","76","img/motor_8.png","76","motor","8","10","1","0","0","",""
"null","226598","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"757","227365","HierDy7ebnejc1","sub11","11","8","motor","75","img/motor_7.png","75","motor","7","11","1","0","0","",""
"null","227475","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"573","228059","HierDy7ebnejc1","sub11","11","8","motor","83","img/motor_2.png","83","motor","2","12","1","0","0","",""
"null","228170","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"611","228791","HierDy7ebnejc1","sub11","11","8","motor","72","img/motor_5.png","72","motor","5","13","1","0","0","",""
"null","228902","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"627","229539","HierDy7ebnejc1","sub11","11","8","motor","70","img/motor_4.png","70","motor","4","14","1","0","0","",""
"null","229650","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"516","230176","HierDy7ebnejc1","sub11","11","8","motor","65","img/motor_1.png","65","motor","1","15","1","0","0","",""
"null","230286","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"773","231069","HierDy7ebnejc1","sub11","11","8","motor","68","img/motor_3.png","68","motor","3","16","1","0","0","",""
"null","231179","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"558","231746","HierDy7ebnejc1","sub11","11","8","motor","75","img/motor_7.png","75","motor","7","17","1","0","0","",""
"null","231856","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"856","232722","HierDy7ebnejc1","sub11","11","8","motor","83","img/motor_2.png","83","motor","2","18","1","0","0","",""
"null","232830","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"384","233224","HierDy7ebnejc1","sub11","11","8","motor","83","img/motor_2.png","83","motor","2","19","1","0","0","",""
"null","233335","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"511","233855","HierDy7ebnejc1","sub11","11","8","motor","68","img/motor_3.png","68","motor","3","20","1","0","0","",""
"null","233966","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"679","234654","HierDy7ebnejc1","sub11","11","8","motor","72","img/motor_5.png","72","motor","5","21","1","0","0","",""
"null","234765","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"843","235616","HierDy7ebnejc1","sub11","11","8","motor","76","img/motor_8.png","76","motor","8","22","1","0","0","",""
"null","235728","HierDy7ebnejc1","sub11","11","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
