"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"1337","1352","HierDy6gl8ww4d","sub04","04","8","","","","","","","","","","","",""
"","2991","HierDy6gl8ww4d","sub04","04","8","fullscreen","","","","","","","","","","",""
"453094","456094","HierDy6gl8ww4d","sub04","04","8","","","","","","","","","","","",""
"3684","459788","HierDy6gl8ww4d","sub04","04","8","motor","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","459897","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"724","460628","HierDy6gl8ww4d","sub04","04","8","motor","75","img/motor_7.png","75","motor","7","2","1","0","0","",""
"null","460737","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"1086","461831","HierDy6gl8ww4d","sub04","04","8","motor","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","461938","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"1215","463161","HierDy6gl8ww4d","sub04","04","8","motor","76","img/motor_8.png","76","motor","8","4","1","0","0","",""
"null","463270","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"1694","464972","HierDy6gl8ww4d","sub04","04","8","motor","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","465080","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"1013","466101","HierDy6gl8ww4d","sub04","04","8","motor","70","img/motor_3.png","68","motor","3","6","0","1","0","",""
"2039","468148","HierDy6gl8ww4d","sub04","04","8","motorRepeat","70","img/motor_3.png","68","motor","3","6","0","1","0","",""
"248","468404","HierDy6gl8ww4d","sub04","04","8","motorRepeat","68","img/motor_3.png","68","motor","3","6","1","0","0","",""
"null","468512","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"369","468889","HierDy6gl8ww4d","sub04","04","8","motor","68","img/motor_3.png","68","motor","3","7","1","0","0","",""
"null","468996","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"1269","470272","HierDy6gl8ww4d","sub04","04","8","motor","76","img/motor_8.png","76","motor","8","8","1","0","0","",""
"null","470379","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"642","471029","HierDy6gl8ww4d","sub04","04","8","motor","75","img/motor_7.png","75","motor","7","9","1","0","0","",""
"null","471136","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"1245","472389","HierDy6gl8ww4d","sub04","04","8","motor","83","img/motor_2.png","83","motor","2","10","1","0","0","",""
"null","472496","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
"3591","476094","HierDy6gl8ww4d","sub04","04","8","motor","70","img/motor_4.png","70","motor","4","11","1","0","0","",""
"null","476201","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"1375","477583","HierDy6gl8ww4d","sub04","04","8","motor","83","img/motor_2.png","83","motor","2","12","1","0","0","",""
"null","477691","HierDy6gl8ww4d","sub04","04","8","iti","null","img/motor_2.png","83","motor","","","","","","",""
