"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"163974","{""Q0"":""msl000389""}","164009","HierDynkgob6s5","2luwxai4u4","msl000389","","","","","","","","","","","","",""
"122213","","286239","HierDynkgob6s5","2luwxai4u4","msl000389","","","","","","","","","","","","",""
"","","290032","HierDynkgob6s5","2luwxai4u4","msl000389","fullscreen","","","","","","","","","","","",""
"13585","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","303630","HierDynkgob6s5","2luwxai4u4","msl000389","","[0,1,2]","","","","","","","","","","",""
"5654","{""Q0"":""19""}","309298","HierDynkgob6s5","2luwxai4u4","msl000389","","","","","","","","","","","","",""
"61099","","370412","HierDynkgob6s5","2luwxai4u4","msl000389","","","","","","","","","","","","",""
"4096","","374521","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","83","img/motor_2.png","83","motor","2","1","1","0","0","",""
"null","","374635","HierDynkgob6s5","2luwxai4u4","msl000389","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"1218","","375864","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","72","img/motor_5.png","72","motor","5","2","1","0","0","",""
"null","","375976","HierDynkgob6s5","2luwxai4u4","msl000389","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"548","","376536","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","74","img/motor_6.png","74","motor","6","3","1","0","0","",""
"null","","376648","HierDynkgob6s5","2luwxai4u4","msl000389","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"669","","377329","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","83","img/motor_2.png","83","motor","2","4","1","0","0","",""
"null","","377442","HierDynkgob6s5","2luwxai4u4","msl000389","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"758","","378211","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","68","img/motor_3.png","68","motor","3","5","1","0","0","",""
"null","","378324","HierDynkgob6s5","2luwxai4u4","msl000389","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"626","","378962","HierDynkgob6s5","2luwxai4u4","msl000389","motor","","74","img/motor_6.png","74","motor","6","6","1","0","0","",""
