"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"6061771","{""Q0"":""msl000336""}","6061803","HierDy46hmugz2","rxwzcy7ck6","msl000336","","","","","","","","","","","","",""
"9410","","6071228","HierDy46hmugz2","rxwzcy7ck6","msl000336","","","","","","","","","","","","",""
"","","6073300","HierDy46hmugz2","rxwzcy7ck6","msl000336","fullscreen","","","","","","","","","","","",""
"9353","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","6082668","HierDy46hmugz2","rxwzcy7ck6","msl000336","","[0,1,2]","","","","","","","","","","",""
"43006","{""Q0"":""20""}","6125689","HierDy46hmugz2","rxwzcy7ck6","msl000336","","","","","","","","","","","","",""
"186553","","6312251","HierDy46hmugz2","rxwzcy7ck6","msl000336","","","","","","","","","","","","",""
"751","","6313009","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","75","img/motor_7.png","75","motor","7","1","1","0","0","",""
"null","","6313124","HierDy46hmugz2","rxwzcy7ck6","msl000336","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"461","","6313595","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","75","img/motor_8.png","76","motor","8","2","0","1","0","",""
"256","","6313858","HierDy46hmugz2","rxwzcy7ck6","msl000336","motorRepeat","","76","img/motor_8.png","76","motor","8","2","1","0","0","",""
"null","","6313966","HierDy46hmugz2","rxwzcy7ck6","msl000336","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"77","","6314056","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","76","img/motor_5.png","72","motor","5","3","0","1","0","",""
"449","","6314521","HierDy46hmugz2","rxwzcy7ck6","msl000336","motorRepeat","","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","","6314629","HierDy46hmugz2","rxwzcy7ck6","msl000336","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"437","","6315075","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","74","img/motor_6.png","74","motor","6","4","1","0","0","",""
"null","","6315189","HierDy46hmugz2","rxwzcy7ck6","msl000336","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"324","","6315529","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","76","img/motor_8.png","76","motor","8","5","1","0","0","",""
"null","","6315644","HierDy46hmugz2","rxwzcy7ck6","msl000336","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"374","","6316027","HierDy46hmugz2","rxwzcy7ck6","msl000336","motor","","74","img/motor_7.png","75","motor","7","6","0","1","0","",""
