rt,responses,time_elapsed,subject,prolificID,demoID,trialType,question_order,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
915410,"{""Q0"":""ms1000267""}",915446,HierDy9cfsawef,dex8u744g4,ms1000267,,,,,,,,,,,,,
3223,,918684,HierDy9cfsawef,dex8u744g4,ms1000267,,,,,,,,,,,,,
,,920566,HierDy9cfsawef,dex8u744g4,ms1000267,fullscreen,,,,,,,,,,,,
24160,"{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}",944737,HierDy9cfsawef,dex8u744g4,ms1000267,,"[0,1,2]",,,,,,,,,,,
3554,"{""Q0"":""23""}",948309,HierDy9cfsawef,dex8u744g4,ms1000267,,,,,,,,,,,,,
173079,,1121396,HierDy9cfsawef,dex8u744g4,ms1000267,,,,,,,,,,,,,
1336,,1122747,HierDy9cfsawef,dex8u744g4,ms1000267,motor,,70,img/motor_4.png,70,motor,4,1,1,0,0,,
null,,1122862,HierDy9cfsawef,dex8u744g4,ms1000267,iti,,null,img/motor_4.png,70,motor,,,,,,,
869,,1123740,HierDy9cfsawef,dex8u744g4,ms1000267,motor,,65,img/motor_1.png,65,motor,1,2,1,0,0,,
null,,1123848,HierDy9cfsawef,dex8u744g4,ms1000267,iti,,null,img/motor_1.png,65,motor,,,,,,,
1483,,1125340,HierDy9cfsawef,dex8u744g4,ms1000267,motor,,65,img/motor_1.png,65,motor,1,3,1,0,0,,
null,,1125455,HierDy9cfsawef,dex8u744g4,ms1000267,iti,,null,img/motor_1.png,65,motor,,,,,,,
1797,,1127260,HierDy9cfsawef,dex8u744g4,ms1000267,motor,,72,img/motor_5.png,72,motor,5,4,1,0,0,,
null,,1127374,HierDy9cfsawef,dex8u744g4,ms1000267,iti,,null,img/motor_5.png,72,motor,,,,,,,
1318,,1128707,HierDy9cfsawef,dex8u744g4,ms1000267,motor,,76,img/motor_8.png,76,motor,8,5,1,0,0,,
