rt,responses,time_elapsed,subject,prolificID,demoID,trialType,question_order,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy
null,,720217,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1298,,721527,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,72,img/r_s_dots.png,72,test,5,NaN,1,,,,color;shape;pattern
null,,722540,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1227,,723779,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,75,img/r_c_dots.png,75,test,7,NaN,1,,,,color;shape;pattern
null,,724791,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1421,,726223,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,70,img/o_s_stripes.png,83,test,2,NaN,0,,,,color;shape;pattern
null,,727237,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
883,,728132,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,65,img/o_s_dots.png,65,test,1,NaN,1,,,,color;shape;pattern
null,,729143,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1349,,730504,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,72,img/r_c_stripes.png,76,test,8,NaN,0,,,,color;shape;pattern
null,,731515,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1978,,733505,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,72,img/r_s_stripes.png,74,test,6,NaN,0,,,,color;shape;pattern
null,,734518,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
2318,,736848,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,70,img/o_c_stripes.png,70,test,4,NaN,1,,,,color;shape;pattern
null,,737860,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1099,,738972,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,74,img/r_s_stripes.png,74,test,6,NaN,1,,,,color;shape;pattern
null,,739984,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1284,,741279,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,76,img/r_c_stripes.png,76,test,8,NaN,1,,,,color;shape;pattern
null,,742292,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1720,,744022,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,76,img/o_s_dots.png,65,test,1,NaN,0,,,,color;shape;pattern
null,,745033,HierDyrqluye2n,1fkoi4zwl4,ms1000253,feedback,,null,,na,test,,,,,,,
1468,,746512,HierDyrqluye2n,1fkoi4zwl4,ms1000253,rl,,76,img/r_c_stripes.png,76,test,8,NaN,1,,,,color;shape;pattern
