"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"765","","6669659","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","22","1","0","0","",""
"null","","6669775","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"1005","","6670789","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","23","1","0","0","",""
"null","","6670897","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"700","","6671611","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","24","1","0","0","",""
"null","","6671720","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"477","","6672204","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","25","1","0","0","",""
"null","","6672313","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"565","","6672884","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","26","1","0","0","",""
"null","","6672992","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"629","","6673628","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","27","1","0","0","",""
"null","","6673742","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"725","","6674475","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","28","1","0","0","",""
"null","","6674590","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"855","","6675453","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","29","1","0","0","",""
