"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"865097","{""Q0"":""msl000386""}","865647","HierDypqnzmcx0","x8suzoj586","msl000386","","","","","","","","","","","","",""
"46278","","911938","HierDypqnzmcx0","x8suzoj586","msl000386","","","","","","","","","","","","",""
"","","915288","HierDypqnzmcx0","x8suzoj586","msl000386","fullscreen","","","","","","","","","","","",""
"15433","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","930736","HierDypqnzmcx0","x8suzoj586","msl000386","","[0,1,2]","","","","","","","","","","",""
"5241","{""Q0"":""18""}","935994","HierDypqnzmcx0","x8suzoj586","msl000386","","","","","","","","","","","","",""
"16892","","952895","HierDypqnzmcx0","x8suzoj586","msl000386","","","","","","","","","","","","",""
"1952","","954855","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","","954964","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"2778","","957757","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","75","img/motor_7.png","75","motor","7","2","1","0","0","",""
"null","","957866","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"1158","","959031","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","72","img/motor_5.png","72","motor","5","3","1","0","0","",""
"null","","959139","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"677","","959823","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","76","img/motor_8.png","76","motor","8","4","1","0","0","",""
"null","","959937","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"534","","960485","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","","960593","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"669","","961271","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","68","img/motor_3.png","68","motor","3","6","1","0","0","",""
"null","","961379","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"1731","","963119","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","68","img/motor_3.png","68","motor","3","7","1","0","0","",""
"null","","963233","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"701","","963948","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","76","img/motor_8.png","76","motor","8","8","1","0","0","",""
"null","","964064","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"670","","964743","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","75","img/motor_7.png","75","motor","7","9","1","0","0","",""
"null","","964851","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"804","","965663","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","83","img/motor_2.png","83","motor","2","10","1","0","0","",""
"null","","965777","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"741","","966527","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","70","img/motor_4.png","70","motor","4","11","1","0","0","",""
"null","","966635","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"700","","967342","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","83","img/motor_2.png","83","motor","2","12","1","0","0","",""
"null","","967456","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"654","","968125","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","65","img/motor_1.png","65","motor","1","13","1","0","0","",""
"null","","968240","HierDypqnzmcx0","x8suzoj586","msl000386","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"734","","968983","HierDypqnzmcx0","x8suzoj586","msl000386","motor","","83","img/motor_2.png","83","motor","2","14","1","0","0","",""
