"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"35476","{""Q0"":""ms1000307""}","35508","HierDyn4hsy00s","sdszn0lm0k","ms1000307","","","","","","","","","","","","",""
"10341","","45857","HierDyn4hsy00s","sdszn0lm0k","ms1000307","","","","","","","","","","","","",""
"","","51398","HierDyn4hsy00s","sdszn0lm0k","ms1000307","fullscreen","","","","","","","","","","","",""
"18252","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","69658","HierDyn4hsy00s","sdszn0lm0k","ms1000307","","[0,1,2]","","","","","","","","","","",""
"4047","{""Q0"":""20""}","73725","HierDyn4hsy00s","sdszn0lm0k","ms1000307","","","","","","","","","","","","",""
"110774","","184510","HierDyn4hsy00s","sdszn0lm0k","ms1000307","","","","","","","","","","","","",""
"1719","","186238","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","70","img/motor_4.png","70","motor","4","1","1","0","0","",""
"null","","186348","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"618","","186974","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","74","img/motor_5.png","72","motor","5","2","0","1","0","",""
"1433","","188421","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motorRepeat","","72","img/motor_5.png","72","motor","5","2","1","0","0","",""
"null","","188537","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"900","","189453","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","83","img/motor_2.png","83","motor","2","3","1","0","0","",""
"null","","189568","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"774","","190350","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","75","img/motor_7.png","75","motor","7","4","1","0","0","",""
"null","","190466","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"492","","190967","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","72","img/motor_5.png","72","motor","5","5","1","0","0","",""
"null","","191081","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"588","","191679","HierDyn4hsy00s","sdszn0lm0k","ms1000307","motor","","65","img/motor_1.png","65","motor","1","6","1","0","0","",""
"null","","191787","HierDyn4hsy00s","sdszn0lm0k","ms1000307","iti","","null","img/motor_1.png","65","motor","","","","","","",""
