"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"20220","{""Q0"":""ms1000280""}","20250","HierDy6zsh1vs8","oa211xjl8z","ms1000280","","","","","","","","","","","","",""
"4647","","24905","HierDy6zsh1vs8","oa211xjl8z","ms1000280","","","","","","","","","","","","",""
"","","27037","HierDy6zsh1vs8","oa211xjl8z","ms1000280","fullscreen","","","","","","","","","","","",""
"37823","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","64874","HierDy6zsh1vs8","oa211xjl8z","ms1000280","","[0,1,2]","","","","","","","","","","",""
"4645","{""Q0"":""18""}","69531","HierDy6zsh1vs8","oa211xjl8z","ms1000280","","","","","","","","","","","","",""
"106381","","175922","HierDy6zsh1vs8","oa211xjl8z","ms1000280","","","","","","","","","","","","",""
"5859","","181796","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","76","img/motor_8.png","76","motor","8","1","1","0","0","",""
"null","","181906","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"1340","","183254","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","72","img/motor_5.png","72","motor","5","2","1","0","0","",""
"null","","183362","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"660","","184030","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","70","img/motor_4.png","70","motor","4","3","1","0","0","",""
"null","","184138","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"564","","184716","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","65","img/motor_1.png","65","motor","1","4","1","0","0","",""
"null","","184830","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"526","","185366","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","65","img/motor_1.png","65","motor","1","5","1","0","0","",""
"null","","185480","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"580","","186070","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","76","img/motor_8.png","76","motor","8","6","1","0","0","",""
"null","","186177","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"884","","187070","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","68","img/motor_3.png","68","motor","3","7","1","0","0","",""
"null","","187178","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"643","","187829","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","72","img/motor_5.png","72","motor","5","8","1","0","0","",""
"null","","187938","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"612","","188558","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","74","img/motor_6.png","74","motor","6","9","1","0","0","",""
"null","","188666","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"707","","189388","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","83","img/motor_2.png","83","motor","2","10","1","0","0","",""
"null","","189497","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"589","","190094","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","76","img/motor_8.png","76","motor","8","11","1","0","0","",""
"null","","190202","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"524","","190733","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","65","img/motor_1.png","65","motor","1","12","1","0","0","",""
"null","","190847","HierDy6zsh1vs8","oa211xjl8z","ms1000280","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"494","","191349","HierDy6zsh1vs8","oa211xjl8z","ms1000280","motor","","83","img/motor_2.png","83","motor","2","13","1","0","0","",""
