"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"1414","","1863159","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1864169","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"2182","","1866367","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1867377","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1054","","1868446","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1869463","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"null","","1871976","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","null","img/p_s_check.png","72","test","5","NaN","0","","","","color,shape,pattern"
"null","","1872986","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"813","","1873815","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1874826","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"701","","1875543","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1876563","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1169","","1877744","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1878752","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"null","","1881262","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","null","img/b_c_stripes.png","70","test","4","NaN","0","","","","color,shape,pattern"
"null","","1882272","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"2048","","1884327","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_c_check.png","68","test","3","NaN","0","","","","color,shape,pattern"
"null","","1885337","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1758","","1887103","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","68","img/b_c_check.png","68","test","3","NaN","1","","","","color,shape,pattern"
"null","","1888112","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1902","","1890023","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1891033","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"734","","1891782","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1892793","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1022","","1893823","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_check.png","72","test","5","NaN","1","","","","color,shape,pattern"
"null","","1894832","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"895","","1895743","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","70","img/b_c_stripes.png","70","test","4","NaN","1","","","","color,shape,pattern"
"null","","1896754","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1261","","1898023","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1899032","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"927","","1899966","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1900974","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"992","","1901982","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_stripes.png","74","test","6","NaN","0","","","","color,shape,pattern"
"null","","1902999","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1654","","1904663","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1905672","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1317","","1906999","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1908008","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"735","","1908751","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_check.png","72","test","5","NaN","1","","","","color,shape,pattern"
"null","","1909761","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1014","","1910791","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1911808","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1102","","1912926","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1913943","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1302","","1915255","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1916264","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1031","","1917302","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1918312","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"880","","1919199","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","68","img/b_c_check.png","68","test","3","NaN","1","","","","color,shape,pattern"
"null","","1920209","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"662","","1920880","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1921888","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1447","","1923344","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1924354","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"988","","1925352","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","70","img/b_c_stripes.png","70","test","4","NaN","1","","","","color,shape,pattern"
"null","","1926361","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1086","","1927456","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1928465","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"630","","1929103","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_check.png","72","test","5","NaN","1","","","","color,shape,pattern"
"null","","1930112","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"846","","1930974","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1931985","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1599","","1933592","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","70","img/b_c_stripes.png","70","test","4","NaN","1","","","","color,shape,pattern"
"null","","1934608","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"702","","1935322","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1936331","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1044","","1937390","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/b_c_check.png","68","test","3","NaN","0","","","","color,shape,pattern"
"null","","1938408","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"813","","1939232","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_check.png","72","test","5","NaN","1","","","","color,shape,pattern"
"null","","1940242","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1597","","1941848","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","68","img/b_c_check.png","68","test","3","NaN","1","","","","color,shape,pattern"
"null","","1942856","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"782","","1943654","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1944665","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1254","","1945928","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1946944","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1957","","1948919","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","68","img/b_c_check.png","68","test","3","NaN","1","","","","color,shape,pattern"
"null","","1949929","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"941","","1950880","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1951889","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1246","","1953145","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1954153","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1158","","1955319","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","70","img/b_c_stripes.png","70","test","4","NaN","1","","","","color,shape,pattern"
"null","","1956327","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"743","","1957080","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","65","img/b_s_check.png","65","test","1","NaN","1","","","","color,shape,pattern"
"null","","1958090","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"709","","1958807","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1959817","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"910","","1960742","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1961754","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1102","","1962863","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","70","img/b_c_stripes.png","70","test","4","NaN","1","","","","color,shape,pattern"
"null","","1963874","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"894","","1964784","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1965801","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"543","","1966359","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","72","img/p_s_check.png","72","test","5","NaN","1","","","","color,shape,pattern"
"null","","1967369","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"933","","1968318","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
"null","","1969329","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1158","","1970503","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","74","img/p_s_stripes.png","74","test","6","NaN","1","","","","color,shape,pattern"
"null","","1971520","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"974","","1972503","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","83","img/b_s_stripes.png","83","test","2","NaN","1","","","","color,shape,pattern"
"null","","1973513","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1286","","1974808","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","75","img/p_c_check.png","75","test","7","NaN","1","","","","color,shape,pattern"
"null","","1975816","HierDyu6st8fl4","eezvm9yczb","ms1000405","feedback","","null","","na","test","","","","","","",""
"1015","","1976847","HierDyu6st8fl4","eezvm9yczb","ms1000405","rl","","76","img/p_c_stripes.png","76","test","8","NaN","1","","","","color,shape,pattern"
