1/1/1,1/1/0,1/0/1,1/0/0,0/1/1,0/1/0,0/0/1,0/0/0
0.143818081479617,0.142037453375309,0.13845812630763,0.136743860420915,0.112515852113715,0.111122780488836,0.108322499530626,0.106981346283352
0.143931509063746,0.142134333593482,0.138527018231854,0.136797324985708,0.112452575812023,0.111048456504638,0.108230088887846,0.106878692920702
0.144045493779134,0.142231623250406,0.138596121351687,0.136850871199667,0.112389099862586,0.110973857562098,0.108137317693851,0.106775615300569
0.144160037503068,0.14232932296474,0.138665435101042,0.136904497518061,0.112325424575711,0.110898983577523,0.108044185763816,0.106672112996039
0.14427514211475,0.14242743334704,0.138734958901331,0.136958202377701,0.112261550269955,0.110823834474496,0.107950692923349,0.106568185591377
0.144390809495292,0.142525954999687,0.138804692161415,0.137011984196877,0.112197477272156,0.110748410183898,0.107856839008557,0.106463832682116
0.144507041527715,0.142624888516817,0.138874634277555,0.137065841375289,0.112133205917443,0.11067271064394,0.107762623866104,0.106359053875136
0.144623840096946,0.142724234484248,0.138944784633357,0.137119772293982,0.112068736549262,0.110596735800186,0.10766804735327,0.106253848788749
0.144741207089816,0.142823993479404,0.139015142599728,0.137173775315288,0.112004069519393,0.110520485605582,0.10757310933801,0.106148217052779
0.144859144395062,0.142924166071249,0.139085707534826,0.137227848782754,0.111939205187969,0.110443960020478,0.107477809699016,0.106042158308646
0.144977653903321,0.14302475282021,0.139156478784012,0.137281991021089,0.111874143923491,0.110367159012658,0.107382148325772,0.105935672209446
0.14509673750713,0.143125754278106,0.139227455679804,0.137336200336098,0.111808886102851,0.110290082557362,0.107286125118615,0.105828758420033
0.145216397100931,0.143227170988075,0.139298637541829,0.137390475014625,0.111743432111341,0.110212730637309,0.10718973998879,0.105721416617099
0.145336634581064,0.143329003484502,0.13937002367678,0.137444813324492,0.111677782342678,0.110135103242721,0.107092992858507,0.105613646489256
0.14545745184577,0.143431252292948,0.139441613378369,0.137499213514444,0.11161193719901,0.11005720037135,0.106995883660997,0.105505447737112
0.145578850795192,0.143533917930075,0.139513405927283,0.13755367381409,0.111545897090938,0.109979022028494,0.106898412340571,0.105396820073357
0.145700833331375,0.143637000903577,0.139585400591144,0.137608192433851,0.111479662437524,0.109900568227024,0.10680057885267,0.105287763222835
0.145823401358269,0.143740501712102,0.139657596624463,0.137662767564901,0.111413233666311,0.109821838987403,0.106702383163924,0.105178276922627
0.145946556781727,0.143844420845187,0.139729993268598,0.13771739737912,0.11134661121333,0.109742834337706,0.106603825252202,0.105068360922129
0.14607030150951,0.14394875878318,0.139802589751715,0.137772080029036,0.111279795523116,0.109663554313645,0.106504905106669,0.10495801498313
0.146194637451287,0.144053515997169,0.139875385288748,0.137826813647777,0.111212787048715,0.109583998958581,0.106405622727837,0.104847238879885
0.146319566518641,0.144158692948913,0.139948379081358,0.137881596349025,0.111145586251702,0.109504168323549,0.106305978127616,0.104736032399197
0.146445090625066,0.144264290090762,0.140021570317894,0.137936426226959,0.111078193602182,0.109424062467276,0.106205971329369,0.104624395340493
0.146571211685976,0.144370307865595,0.140094958173358,0.137991301356216,0.111010609578807,0.109343681456194,0.106105602367958,0.104512327515896
0.146697931618707,0.144476746706738,0.140168541809366,0.138046219791842,0.110942834668782,0.109263025364464,0.106004871289799,0.104399828750303
0.146825252342517,0.144583607037899,0.140242320374112,0.138101179569245,0.110874869367871,0.109182094273987,0.105903778152909,0.10428689888146
0.146953175778597,0.144690889273092,0.140316293002332,0.138156178704157,0.110806714180408,0.109100888274424,0.105802323026954,0.104173537760036
0.147081703850068,0.144798593816565,0.140390458815274,0.138211215192586,0.110738369619301,0.10901940746321,0.105700505993301,0.104059745249696
0.147210838481994,0.14490672106273,0.140464816920657,0.13826628701078,0.110669836206039,0.108937651945566,0.105598327145061,0.103945521227174
0.14734058160138,0.145015271396088,0.140539366412645,0.138321392115185,0.110601114470697,0.108855621834519,0.105495786587139,0.103830865582347
0.147470935137183,0.145124245191161,0.140614106371812,0.138376528442407,0.110532204951942,0.10877331725091,0.10539288443628,0.103715778218306
0.147601901020314,0.145233642812414,0.140689035865111,0.138431693909175,0.110463108197034,0.108690738323411,0.105289620821112,0.103600259051429
0.147733481183647,0.145343464614189,0.140764153945848,0.138486886412309,0.110393824761831,0.108607885188535,0.105185995882194,0.103484308011448
0.147865677562024,0.14545371094063,0.140839459653646,0.138542103828679,0.110324355210791,0.108524757990647,0.105082009772058,0.103367925041524
0.147998492092265,0.145564382125612,0.140914952014423,0.138597344015181,0.110254700116974,0.108441356881978,0.104977662655253,0.103251110098314
0.14813192671317,0.145675478492668,0.140990630040361,0.138652604808699,0.110184860062042,0.108357682022633,0.104872954708387,0.10313386315204
0.148265983365533,0.145787000354918,0.141066492729883,0.138707884026076,0.110114835636262,0.1082737335806,0.104767886120169,0.103016184186559
0.148400663992144,0.145898948014999,0.141142539067625,0.138763179464092,0.110044627438498,0.108189511731762,0.10466245709145,0.102898073199429
0.148535970537803,0.146011321764989,0.141218768024413,0.138818488899429,0.109974236076221,0.108105016659902,0.104556667835266,0.102779530201976
0.148671904949325,0.146124121886341,0.141295178557239,0.13887381008865,0.109903662165496,0.108020248556714,0.104450518576871,0.102660555219364
0.148808469175551,0.146237348649808,0.141371769609238,0.138929140768173,0.109832906330987,0.107935207621806,0.104344009553782,0.102541148290654
0.148945665167355,0.146351002315369,0.14144854010967,0.138984478654254,0.109761969205949,0.107849894062712,0.104237141015816,0.102421309468875
0.149083494877657,0.146465083132165,0.141525488973894,0.139039821442958,0.109690851432225,0.10776430809489,0.104129913225123,0.102301038821088
