"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","226253","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"429","","226689","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","68","83","motor","2","174","0","1","0","",""
"213","","226913","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_2.png","83","83","motor","2","174","1","0","0","",""
"null","","227022","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"547","","227578","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","175","1","0","0","",""
"null","","227687","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"494","","228189","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","176","1","0","0","",""
"null","","228299","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"485","","228794","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","177","1","0","0","",""
"null","","228903","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"521","","229432","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_7.png","75","75","motor","7","178","1","0","0","",""
"null","","229542","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"482","","230031","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","179","1","0","0","",""
"null","","230141","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"395","","230544","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","180","1","0","0","",""
"null","","230654","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"444","","231107","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","181","1","0","0","",""
"null","","231218","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"356","","231582","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_5.png","72","72","motor","5","182","1","0","0","",""
"null","","231690","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"460","","232160","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","183","1","0","0","",""
"null","","232271","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"321","","232600","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","184","1","0","0","",""
"null","","232710","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"465","","233182","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","185","1","0","0","",""
"null","","233292","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"259","","233561","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","186","1","0","0","",""
"null","","233668","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"385","","234061","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","187","1","0","0","",""
"null","","234169","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"181","","234358","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","65","70","motor","4","188","0","1","0","",""
"358","","234726","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_4.png","70","70","motor","4","188","1","0","0","",""
"null","","234837","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"586","","235430","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","189","1","0","0","",""
"null","","235541","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"605","","236154","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_8.png","76","76","motor","8","190","1","0","0","",""
"null","","236265","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","76","motor","","","","","","",""
"433","","236707","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","191","1","0","0","",""
"null","","236817","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"332","","237159","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","192","1","0","0","",""
"null","","237269","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"326","","237605","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","193","1","0","0","",""
"null","","237715","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"464","","238188","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_4.png","70","70","motor","4","194","1","0","0","",""
"null","","238298","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"669","","238976","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","65","65","motor","1","195","1","0","0","",""
"null","","239087","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"598","","239692","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_3.png","68","68","motor","3","196","1","0","0","",""
"null","","239802","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"324","","240135","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","68","83","motor","2","197","0","1","0","",""
"403","","240547","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_2.png","68","83","motor","2","197","0","1","0","",""
"242","","240799","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_2.png","83","83","motor","2","197","1","0","0","",""
"null","","240909","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"500","","241419","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","74","74","motor","6","198","1","0","0","",""
"null","","241530","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"595","","242134","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_2.png","83","83","motor","2","199","1","0","0","",""
"null","","242245","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","83","motor","","","","","","",""
"324","","242579","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_1.png","83","65","motor","1","200","0","1","0","",""
"91","","242678","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_1.png","65","65","motor","1","200","1","0","0","",""
"null","","242789","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","65","motor","","","","","","",""
"579","","243376","HierDyfdo116xx","6yb5i1u49f","msl000491","motor","img/motor_6.png","75","74","motor","6","201","0","1","0","",""
"208","","243592","HierDyfdo116xx","6yb5i1u49f","msl000491","motorRepeat","img/motor_6.png","74","74","motor","6","201","1","0","0","",""
"null","","243703","HierDyfdo116xx","6yb5i1u49f","msl000491","iti","img/motor_blank.png","null","74","motor","","","","","","",""
