"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"516","","111116","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_3.png","70","68","motor","3","24","0","1","0","",""
"281","","111404","HierDye7hmugqs","t8f65p4zao","msl000526","motorRepeat","img/motor_3.png","68","68","motor","3","24","1","0","0","",""
"null","","111514","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"549","","112072","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_6.png","74","74","motor","6","25","1","0","0","",""
"null","","112181","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","74","motor","","","","","","",""
"610","","112801","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_4.png","70","70","motor","4","26","1","0","0","",""
"null","","112909","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","70","motor","","","","","","",""
"422","","113340","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_3.png","68","68","motor","3","27","1","0","0","",""
"null","","113451","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","68","motor","","","","","","",""
"672","","114131","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_5.png","72","72","motor","5","28","1","0","0","",""
"null","","114241","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","72","motor","","","","","","",""
"563","","114813","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_7.png","75","75","motor","7","29","1","0","0","",""
"null","","114923","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","75","motor","","","","","","",""
"638","","115568","HierDye7hmugqs","t8f65p4zao","msl000526","motor","img/motor_7.png","75","75","motor","7","30","1","0","0","",""
"null","","115677","HierDye7hmugqs","t8f65p4zao","msl000526","iti","img/motor_blank.png","null","75","motor","","","","","","",""
