"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"1711","402837","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","27","1","","","color,shape,pattern",""
"null","403851","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","27","","","","",""
"654","404515","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","28","1","","","color,shape,pattern",""
"null","405527","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","28","","","","",""
"705","406243","HierDyvc8ryfj5","01","01","8","rl","83","img/b_s_dots.png","68","test","3","29","0","","","color,shape,pattern",""
"null","407256","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","29","","","","",""
"959","408224","HierDyvc8ryfj5","01","01","8","rl","70","img/r_s_stripes.png","76","test","8","30","0","","","color,shape,pattern",""
"null","409236","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","30","","","","",""
"1586","410833","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","31","1","","","color,shape,pattern",""
"null","411845","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","31","","","","",""
"503","412360","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","32","1","","","color,shape,pattern",""
"null","413372","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","32","","","","",""
"787","414170","HierDyvc8ryfj5","01","01","8","rl","72","img/b_c_dots.png","65","test","1","33","0","","","color,shape,pattern",""
"null","415183","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","33","","","","",""
"883","416079","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","34","1","","","color,shape,pattern",""
"null","417090","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","34","","","","",""
"548","417649","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","35","1","","","color,shape,pattern",""
"null","418659","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","35","","","","",""
"599","419269","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_dots.png","72","test","5","36","0","","","color,shape,pattern",""
"null","420280","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","36","","","","",""
"569","420860","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","37","1","","","color,shape,pattern",""
"null","421873","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","37","","","","",""
"610","422492","HierDyvc8ryfj5","01","01","8","rl","74","img/r_s_dots.png","75","test","7","38","0","","","color,shape,pattern",""
"null","423504","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","38","","","","",""
"1137","424654","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","39","1","","","color,shape,pattern",""
"null","425666","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","39","","","","",""
"568","426245","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","40","1","","","color,shape,pattern",""
"null","427257","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","40","","","","",""
"1002","428270","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","41","1","","","color,shape,pattern",""
"null","429280","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","41","","","","",""
"884","430174","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","42","1","","","color,shape,pattern",""
"null","431187","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","42","","","","",""
"554","431751","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","43","1","","","color,shape,pattern",""
"null","432762","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","43","","","","",""
"589","433361","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","44","1","","","color,shape,pattern",""
"null","434374","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","44","","","","",""
"482","434866","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","45","1","","","color,shape,pattern",""
"null","435879","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","45","","","","",""
"611","436500","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","46","1","","","color,shape,pattern",""
"null","437511","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","46","","","","",""
"598","438120","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","47","1","","","color,shape,pattern",""
"null","439134","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","47","","","","",""
"693","439837","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","48","1","","","color,shape,pattern",""
"null","440848","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","48","","","","",""
