"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"59168.00000000001","59174","HierDynjcw46yg","sub15","03","03","","","","","","","","","",""
"","61408","HierDynjcw46yg","sub15","03","03","fullscreen","","","","","","","","",""
"9717","71127","HierDynjcw46yg","sub15","03","03","","prac","","","","","","","",""
"2245","73401","HierDynjcw46yg","sub15","03","03","","","32","","","","","","",""
"1482.9999999999854","74884","HierDynjcw46yg","sub15","03","03","","prac","","","","","","","",""
"2062","76951","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_dots.png","4","70","color,pattern,shape","1","0",""
"null","77956","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","1","",""
"1043","79003","HierDynjcw46yg","sub15","03","03","rl","test","74","img/p_c_diag.png","6","74","color,pattern,shape","2","1",""
"null","80008","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","2","",""
"550.9999999999854","80563","HierDynjcw46yg","sub15","03","03","rl","test","72","img/p_t_diag.png","5","72","color,pattern,shape","3","1",""
"null","81569","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","3","",""
"952","82525","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_diag.png","2","83","color,pattern,shape","4","1",""
"null","83530","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","4","",""
"713","84247","HierDynjcw46yg","sub15","03","03","rl","test","65","img/r_t_diag.png","1","65","color,pattern,shape","5","1",""
"null","85252","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","5","",""
"1329.9999999999854","86586","HierDynjcw46yg","sub15","03","03","rl","test","75","img/p_t_dots.png","7","75","color,pattern,shape","6","1",""
"null","87591","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","6","",""
"793","88389","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_diag.png","2","83","color,pattern,shape","7","1",""
"null","89393","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","7","",""
"622","90020","HierDynjcw46yg","sub15","03","03","rl","test","68","img/r_t_dots.png","3","68","color,pattern,shape","8","1",""
"null","91024","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","8","",""
"767","91796","HierDynjcw46yg","sub15","03","03","rl","test","76","img/p_c_dots.png","8","76","color,pattern,shape","9","1",""
"null","92801","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","9","",""
"606.0000000000146","93411","HierDynjcw46yg","sub15","03","03","rl","test","76","img/p_c_dots.png","8","76","color,pattern,shape","10","1",""
"null","94416","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","10","",""
"814","95233","HierDynjcw46yg","sub15","03","03","rl","test","72","img/p_t_diag.png","5","72","color,pattern,shape","11","1",""
"null","96238","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","11","",""
"714","96956","HierDynjcw46yg","sub15","03","03","rl","test","70","img/r_c_dots.png","4","70","color,pattern,shape","12","1",""
"null","97961","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","12","",""
"659","98624","HierDynjcw46yg","sub15","03","03","rl","test","68","img/r_t_dots.png","3","68","color,pattern,shape","13","1",""
"null","99629","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","13","",""
"1180","100814","HierDynjcw46yg","sub15","03","03","rl","test","75","img/p_t_dots.png","7","75","color,pattern,shape","14","1",""
"null","101819","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","14","",""
"665","102488","HierDynjcw46yg","sub15","03","03","rl","test","74","img/p_c_diag.png","6","74","color,pattern,shape","15","1",""
"null","103494","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","15","",""
"829","104327","HierDynjcw46yg","sub15","03","03","rl","test","65","img/r_t_diag.png","1","65","color,pattern,shape","16","1",""
"null","105333","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","16","",""
"688.0000000000146","106025","HierDynjcw46yg","sub15","03","03","rl","test","74","img/p_c_diag.png","6","74","color,pattern,shape","17","1",""
"null","107030","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","17","",""
"947","107981","HierDynjcw46yg","sub15","03","03","rl","test","70","img/r_c_dots.png","4","70","color,pattern,shape","18","1",""
"null","108985","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","18","",""
"891","109881","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_diag.png","2","83","color,pattern,shape","19","1",""
"null","110886","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","19","",""
"684","111574","HierDynjcw46yg","sub15","03","03","rl","test","65","img/r_t_diag.png","1","65","color,pattern,shape","20","1",""
"null","112578","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","20","",""
"803.0000000000146","113385","HierDynjcw46yg","sub15","03","03","rl","test","72","img/p_t_diag.png","5","72","color,pattern,shape","21","1",""
"null","114390","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","21","",""
"1131","115525","HierDynjcw46yg","sub15","03","03","rl","test","68","img/r_t_dots.png","3","68","color,pattern,shape","22","1",""
"null","116530","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","22","",""
"813.9999999999854","117348","HierDynjcw46yg","sub15","03","03","rl","test","75","img/p_t_dots.png","7","75","color,pattern,shape","23","1",""
"null","118353","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","23","",""
"668.0000000000146","119026","HierDynjcw46yg","sub15","03","03","rl","test","76","img/p_c_dots.png","8","76","color,pattern,shape","24","1",""
"null","120030","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","24","",""
"590.9999999999854","120625","HierDynjcw46yg","sub15","03","03","rl","test","76","img/p_c_dots.png","8","76","color,pattern,shape","25","1",""
"null","121630","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","25","",""
"997","122631","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_diag.png","2","83","color,pattern,shape","26","1",""
"null","123636","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","26","",""
"1068.9999999999854","124710","HierDynjcw46yg","sub15","03","03","rl","test","76","img/p_c_dots.png","8","76","color,pattern,shape","27","1",""
"null","125714","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","27","",""
"958","126677","HierDynjcw46yg","sub15","03","03","rl","test","68","img/r_t_dots.png","3","68","color,pattern,shape","28","1",""
"null","127682","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","28","",""
"775","128461","HierDynjcw46yg","sub15","03","03","rl","test","70","img/r_c_dots.png","4","70","color,pattern,shape","29","1",""
"null","129466","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","29","",""
"836","130308","HierDynjcw46yg","sub15","03","03","rl","test","75","img/p_t_dots.png","7","75","color,pattern,shape","30","1",""
"null","131313","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","30","",""
"661","131978","HierDynjcw46yg","sub15","03","03","rl","test","74","img/p_c_diag.png","6","74","color,pattern,shape","31","1",""
"null","132983","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","31","",""
"700","133687","HierDynjcw46yg","sub15","03","03","rl","test","65","img/r_t_diag.png","1","65","color,pattern,shape","32","1",""
"null","134692","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","32","",""
"778","135475","HierDynjcw46yg","sub15","03","03","rl","test","75","img/p_t_dots.png","7","75","color,pattern,shape","33","1",""
"null","136479","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","33","",""
"729.9999999999709","137213","HierDynjcw46yg","sub15","03","03","rl","test","72","img/p_t_diag.png","5","72","color,pattern,shape","34","1",""
"null","138218","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","34","",""
"685","138907","HierDynjcw46yg","sub15","03","03","rl","test","65","img/r_t_diag.png","1","65","color,pattern,shape","35","1",""
"null","139912","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","35","",""
"763","140679","HierDynjcw46yg","sub15","03","03","rl","test","83","img/p_c_diag.png","6","74","color,pattern,shape","36","0",""
"null","141684","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","36","",""
"752","142441","HierDynjcw46yg","sub15","03","03","rl","test","70","img/r_c_dots.png","4","70","color,pattern,shape","37","1",""
"null","143447","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","37","",""
"836","144287","HierDynjcw46yg","sub15","03","03","rl","test","72","img/p_t_diag.png","5","72","color,pattern,shape","38","1",""
"null","145292","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","38","",""
"663.0000000000291","145958","HierDynjcw46yg","sub15","03","03","rl","test","70","img/r_c_dots.png","4","70","color,pattern,shape","39","1",""
"null","146967","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","39","",""
"811.9999999999709","147783","HierDynjcw46yg","sub15","03","03","rl","test","83","img/r_c_diag.png","2","83","color,pattern,shape","40","1",""
"null","148788","HierDynjcw46yg","sub15","03","03","feedback","test","null","","","na","","40","",""
"619","149411","HierDynjcw46yg","sub15","03","03","rl","test","68","img/r_t_dots.png","3","68","color,pattern,shape","41","1",""
