"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"14","sub17",5,"forced",5,14,"learn",8,8,1,1,1.2,1.176,0,8,2,"R",2,0,0,1,1,1,1,"R",2,1,1,8,14,-0.024,"12","10","sw/sw/sw","6",7,1,"1/1/1",1,"1/1/1",1,1
"15","sub17",5,"forced",5,15,"learn",6,6,1,1,1.2,1.101,0,8,3,"R",1,0,1,1,0,1,1,"R",1,1,1,6,15,-0.099,"11","10","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1",1,1
"16","sub17",5,"forced",5,16,"learn",7,7,1,1,1,0.929,0,8,2,"R",2,0,1,1,0,1,1,"R",2,1,1,7,16,-0.071,"9","8","rep/sw/sw","4",6,2,"1/1/1",1,"1/1/1",1,1
"17","sub17",5,"forced",5,17,"learn",7,7,1,1,0.5,0.41,0,8,3,"R",2,0,0,0,0,0,0,"R",2,1,1,7,17,-0.09,"2","4","rep/rep/rep","0",7,0,"1/1/1",1,"1/1/1",1,1
"18","sub17",5,"forced",5,18,"learn",8,6,0,1,0.3,0.328,0,8,3,"R",2,0,0,1,0,1,1,"R",1,1,0,8,18,0.028,"2","2","rep/sw/sw","4",7,1,"1/0/0",1,"1/0/1",1,1
"19","sub17",5,"forced",5,19,"learn",4,4,1,1,1.1,1.122,0,8,4,"L",2,1,0,1,1,1,1,"L",2,1,1,4,19,0.022,"11","9","sw/sw/sw","6",8,3,"1/1/1",1,"1/1/1",1,1
"20","sub17",5,"forced",5,20,"learn",5,5,1,1,0.5,0.574,0,8,3,"R",1,1,1,1,1,1,1,"R",1,1,1,5,20,0.074,"4","4","sw/sw/sw","6",4,1,"1/1/1",1,"1/1/1",1,1
"21","sub17",5,"forced",5,21,"learn",1,1,1,1,1.1,1.075,0,8,3,"L",1,1,0,1,1,0,1,"L",1,1,1,1,21,-0.0250000000000001,"10","9","sw/rep/sw","6",5,3,"1/1/1",1,"1/1/1",1,1
"22","sub17",5,"forced",5,22,"learn",4,8,0,0,0.1,0.879,0,8,5,"L",2,0,1,1,1,1,1,"R",2,0,1,4,22,0.779,"8","1","sw/sw/sw","6",1,2,"0/1/0",1,"0/1/1",1,NA
"23","sub17",5,"forced",5,23,"learn",7,7,1,1,0.4,0.462,0,8,4,"R",2,1,0,1,0,0,1,"R",2,1,1,7,23,0.062,"3","3","rep/rep/sw","2",4,2,"1/1/1",1,"1/1/1",1,1
"24","sub17",5,"forced",5,24,"learn",3,7,0,1,0.5,0.486,0,8,2,"L",2,1,0,1,0,0,0,"R",2,0,1,3,24,-0.014,"3","4","rep/rep/rep","0",7,3,"0/1/0",1,"0/1/1",1,1
"25","sub17",5,"forced",5,25,"learn",2,3,0,0,0.7,0.85,0,8,2,"L",1,0,1,1,1,0,1,"L",2,1,0,2,25,0.15,"8","5","sw/rep/sw","6",3,2,"1/0/0",0,"1/0/0",1,1
