"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"998375","{""Q0"":""msl000225""}","998413","HierDym41kuss6","ju3xb3bpzx","msl000225","","","","","","","","","","","","",""
"1570","","999989","HierDym41kuss6","ju3xb3bpzx","msl000225","","","","","","","","","","","","",""
"","","1001958","HierDym41kuss6","ju3xb3bpzx","msl000225","fullscreen","","","","","","","","","","","",""
"15721","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""female""}","1017693","HierDym41kuss6","ju3xb3bpzx","msl000225","","[0,1,2]","","","","","","","","","","",""
"6289","{""Q0"":""20""}","1024000","HierDym41kuss6","ju3xb3bpzx","msl000225","","","","","","","","","","","","",""
"153422","","1177431","HierDym41kuss6","ju3xb3bpzx","msl000225","","","","","","","","","","","","",""
"775","","1178214","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","76","img/motor_8.png","76","motor","8","color","1","1","0","0",""
"null","","1178322","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"612","","1178942","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","72","img/motor_5.png","72","motor","5","color","2","1","0","0",""
"null","","1179050","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"564","","1179622","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","70","img/motor_4.png","70","motor","4","color","3","1","0","0",""
"null","","1179736","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"421","","1180167","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","65","img/motor_1.png","65","motor","1","color","4","1","0","0",""
"null","","1180274","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"700","","1180983","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","74","img/motor_6.png","74","motor","6","color","5","1","0","0",""
"null","","1181096","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"492","","1181605","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","75","img/motor_7.png","75","motor","7","color","6","1","0","0",""
"null","","1181720","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"430","","1182164","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","74","img/motor_6.png","74","motor","6","color","7","1","0","0",""
"null","","1182273","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"533","","1182814","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","70","img/motor_4.png","70","motor","4","color","8","1","0","0",""
"null","","1182929","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"534","","1183477","HierDym41kuss6","ju3xb3bpzx","msl000225","motor","","75","img/motor_7.png","75","motor","7","color","9","1","0","0",""
"null","","1183585","HierDym41kuss6","ju3xb3bpzx","msl000225","iti","","null","img/motor_7.png","75","motor","","","","","","",""
