"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"995325","{""Q0"":""msl000303""}","995356","HierDyx9d0osyj","rn73whd330","msl000303","","","","","","","","","","","","",""
"1165","","996528","HierDyx9d0osyj","rn73whd330","msl000303","","","","","","","","","","","","",""
"","","998884","HierDyx9d0osyj","rn73whd330","msl000303","fullscreen","","","","","","","","","","","",""
"12768","{""Vision"":""Yes"",""Handedness"":""Right"",""Gender"":""male""}","1011659","HierDyx9d0osyj","rn73whd330","msl000303","","[0,1,2]","","","","","","","","","","",""
"6096","{""Q0"":""20""}","1017768","HierDyx9d0osyj","rn73whd330","msl000303","","","","","","","","","","","","",""
"348922","","1366704","HierDyx9d0osyj","rn73whd330","msl000303","","","","","","","","","","","","",""
"2252","","1368968","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","1","1","0","0",""
"null","","1369082","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"844","","1369936","HierDyx9d0osyj","rn73whd330","msl000303","motor","","75","img/motor_7.png","75","motor","7","color","2","1","0","0",""
"null","","1370050","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"772","","1370831","HierDyx9d0osyj","rn73whd330","msl000303","motor","","72","img/motor_5.png","72","motor","5","color","3","1","0","0",""
"null","","1370940","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"596","","1371544","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","4","1","0","0",""
"null","","1371651","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"540","","1372199","HierDyx9d0osyj","rn73whd330","msl000303","motor","","72","img/motor_5.png","72","motor","5","color","5","1","0","0",""
"null","","1372314","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"1181","","1373504","HierDyx9d0osyj","rn73whd330","msl000303","motor","","68","img/motor_3.png","68","motor","3","color","6","1","0","0",""
"null","","1373612","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"570","","1374191","HierDyx9d0osyj","rn73whd330","msl000303","motor","","68","img/motor_3.png","68","motor","3","color","7","1","0","0",""
"null","","1374306","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"1709","","1376025","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","8","1","0","0",""
"null","","1376138","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"694","","1376839","HierDyx9d0osyj","rn73whd330","msl000303","motor","","75","img/motor_7.png","75","motor","7","color","9","1","0","0",""
"null","","1376948","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"797","","1377758","HierDyx9d0osyj","rn73whd330","msl000303","motor","","83","img/motor_2.png","83","motor","2","color","10","1","0","0",""
"null","","1377874","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"709","","1378592","HierDyx9d0osyj","rn73whd330","msl000303","motor","","70","img/motor_4.png","70","motor","4","color","11","1","0","0",""
"null","","1378706","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"662","","1379375","HierDyx9d0osyj","rn73whd330","msl000303","motor","","68","img/motor_2.png","83","motor","2","color","12","0","1","0",""
"1137","","1380519","HierDyx9d0osyj","rn73whd330","msl000303","motorRepeat","","83","img/motor_2.png","83","motor","2","","12","1","0","0",""
"null","","1380627","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"1445","","1382080","HierDyx9d0osyj","rn73whd330","msl000303","motor","","65","img/motor_1.png","65","motor","1","color","13","1","0","0",""
"null","","1382188","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"500","","1382703","HierDyx9d0osyj","rn73whd330","msl000303","motor","","83","img/motor_2.png","83","motor","2","color","14","1","0","0",""
"null","","1382811","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"972","","1383798","HierDyx9d0osyj","rn73whd330","msl000303","motor","","74","img/motor_6.png","74","motor","6","color","15","1","0","0",""
"null","","1383912","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"574","","1384496","HierDyx9d0osyj","rn73whd330","msl000303","motor","","75","img/motor_7.png","75","motor","7","color","16","1","0","0",""
"null","","1384603","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"525","","1385136","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","17","1","0","0",""
"null","","1385244","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"580","","1385831","HierDyx9d0osyj","rn73whd330","msl000303","motor","","65","img/motor_1.png","65","motor","1","color","18","1","0","0",""
"null","","1385946","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"518","","1386472","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","19","1","0","0",""
"null","","1386586","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"756","","1387352","HierDyx9d0osyj","rn73whd330","msl000303","motor","","68","img/motor_3.png","68","motor","3","color","20","1","0","0",""
"null","","1387467","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"868","","1388343","HierDyx9d0osyj","rn73whd330","msl000303","motor","","76","img/motor_8.png","76","motor","8","color","21","1","0","0",""
"null","","1388451","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"524","","1388984","HierDyx9d0osyj","rn73whd330","msl000303","motor","","74","img/motor_6.png","74","motor","6","color","22","1","0","0",""
"null","","1389099","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"564","","1389672","HierDyx9d0osyj","rn73whd330","msl000303","motor","","72","img/motor_5.png","72","motor","5","color","23","1","0","0",""
"null","","1389780","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"540","","1390328","HierDyx9d0osyj","rn73whd330","msl000303","motor","","74","img/motor_6.png","74","motor","6","color","24","1","0","0",""
"null","","1390437","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"555","","1391000","HierDyx9d0osyj","rn73whd330","msl000303","motor","","70","img/motor_4.png","70","motor","4","color","25","1","0","0",""
"null","","1391115","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"596","","1391720","HierDyx9d0osyj","rn73whd330","msl000303","motor","","74","img/motor_6.png","74","motor","6","color","26","1","0","0",""
"null","","1391828","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"459","","1392296","HierDyx9d0osyj","rn73whd330","msl000303","motor","","74","img/motor_6.png","74","motor","6","color","27","1","0","0",""
"null","","1392404","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"570","","1392984","HierDyx9d0osyj","rn73whd330","msl000303","motor","","68","img/motor_2.png","83","motor","2","color","28","0","1","0",""
"329","","1393326","HierDyx9d0osyj","rn73whd330","msl000303","motorRepeat","","83","img/motor_2.png","83","motor","2","","28","1","0","0",""
"null","","1393436","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"581","","1394024","HierDyx9d0osyj","rn73whd330","msl000303","motor","","72","img/motor_5.png","72","motor","5","color","29","1","0","0",""
"null","","1394132","HierDyx9d0osyj","rn73whd330","msl000303","iti","","null","img/motor_5.png","72","motor","","","","","","",""
