"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"1049","","1710563","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_s_stripes.png","74","test","6","357","0","","","","color,shape,pattern"
"null","","1711576","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"812","","1712397","FlatDy038d2gdz","phxune23zj","msl000611","rl","76","img/p_c_dots.png","68","test","3","358","0","","","","color,shape,pattern"
"null","","1713409","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"396","","1713815","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/p_c_stripes.png","72","test","5","359","0","","","","color,shape,pattern"
"null","","1714827","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"351","","1715187","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/b_s_stripes.png","83","test","2","360","0","","","","color,shape,pattern"
"null","","1716198","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"528","","1716736","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/p_c_dots.png","68","test","3","361","0","","","","color,shape,pattern"
"null","","1717749","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"690","","1718449","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/p_s_dots.png","75","test","7","362","0","","","","color,shape,pattern"
"null","","1719460","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"235","","1719703","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_s_dots.png","75","test","7","363","0","","","","color,shape,pattern"
"null","","1720713","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"393","","1721116","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_s_stripes.png","74","test","6","364","0","","","","color,shape,pattern"
"null","","1722125","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"337","","1722469","FlatDy038d2gdz","phxune23zj","msl000611","rl","75","img/b_s_dots.png","70","test","4","365","0","","","","color,shape,pattern"
"null","","1723480","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"959","","1724447","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/b_c_dots.png","65","test","1","366","1","","","","color,shape,pattern"
"null","","1725457","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"959","","1726426","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/b_s_stripes.png","83","test","2","367","1","","","","color,shape,pattern"
"null","","1727434","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"869","","1728312","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/b_c_dots.png","65","test","1","368","1","","","","color,shape,pattern"
"null","","1729321","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1153","","1730482","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/p_c_stripes.png","72","test","5","369","0","","","","color,shape,pattern"
"null","","1731491","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"653","","1732151","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_c_stripes.png","76","test","8","370","0","","","","color,shape,pattern"
"null","","1733161","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"2413","","1735582","FlatDy038d2gdz","phxune23zj","msl000611","rl","76","img/p_c_stripes.png","72","test","5","371","0","","","","color,shape,pattern"
"null","","1736595","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"612","","1737218","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_s_stripes.png","74","test","6","372","0","","","","color,shape,pattern"
"null","","1738226","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"841","","1739077","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/b_c_stripes.png","76","test","8","373","0","","","","color,shape,pattern"
"null","","1740089","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1271","","1741372","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_s_dots.png","70","test","4","374","1","","","","color,shape,pattern"
"null","","1742384","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1800","","1744197","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_c_dots.png","68","test","3","375","0","","","","color,shape,pattern"
"null","","1745211","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"792","","1746016","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/b_s_stripes.png","83","test","2","376","0","","","","color,shape,pattern"
"null","","1747030","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"272","","1747313","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/b_c_stripes.png","76","test","8","377","0","","","","color,shape,pattern"
"null","","1748324","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"null","","1750837","FlatDy038d2gdz","phxune23zj","msl000611","rl","null","img/p_s_dots.png","75","test","7","378","0","","","","color,shape,pattern"
"null","","1751851","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"759","","1752623","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/b_s_dots.png","70","test","4","379","0","","","","color,shape,pattern"
"null","","1753634","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"689","","1754335","FlatDy038d2gdz","phxune23zj","msl000611","rl","65","img/b_c_dots.png","65","test","1","380","1","","","","color,shape,pattern"
"null","","1755348","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1540","","1756899","FlatDy038d2gdz","phxune23zj","msl000611","rl","74","img/p_c_dots.png","68","test","3","381","0","","","","color,shape,pattern"
"null","","1757912","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"908","","1758831","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_c_stripes.png","72","test","5","382","1","","","","color,shape,pattern"
"null","","1759842","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"567","","1760418","FlatDy038d2gdz","phxune23zj","msl000611","rl","72","img/p_c_stripes.png","72","test","5","383","1","","","","color,shape,pattern"
"null","","1761427","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1081","","1762516","FlatDy038d2gdz","phxune23zj","msl000611","rl","70","img/b_s_stripes.png","83","test","2","384","0","","","","color,shape,pattern"
"null","","1763525","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"1488","","1765023","FlatDy038d2gdz","phxune23zj","msl000611","rl","83","img/b_s_dots.png","70","test","4","385","0","","","","color,shape,pattern"
"null","","1766032","FlatDy038d2gdz","phxune23zj","msl000611","feedback","null","","na","test","","","","","","",""
"371","","1766415","FlatDy038d2gdz","phxune23zj","msl000611","rl","68","img/p_s_stripes.png","74","test","6","386","0","","","","color,shape,pattern"
