"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"528","","1732189","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","72","img/p_t_stripes.png","72","test","5","323","1","","","","pattern,color,shape"
"null","","1733201","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1975","","1735184","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","68","img/r_s_stripes.png","68","test","3","324","1","","","","pattern,color,shape"
"null","","1736196","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"null","","1738708","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","null","img/r_t_check.png","76","test","8","325","0","","","","pattern,color,shape"
"null","","1739720","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"2238","","1741967","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_check.png","70","test","4","326","1","","","","pattern,color,shape"
"null","","1742979","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1806","","1744795","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","83","img/r_s_check.png","83","test","2","327","1","","","","pattern,color,shape"
"null","","1745807","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"2318","","1748137","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","75","img/p_s_check.png","75","test","7","328","1","","","","pattern,color,shape"
"null","","1749149","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1411","","1750570","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","83","img/r_s_check.png","83","test","2","329","1","","","","pattern,color,shape"
"null","","1751582","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1682","","1753275","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","74","img/p_s_stripes.png","74","test","6","330","1","","","","pattern,color,shape"
"null","","1754287","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"null","","1756799","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","null","img/r_s_stripes.png","68","test","3","331","0","","","","pattern,color,shape"
"null","","1757811","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1001","","1758822","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","75","img/p_s_check.png","75","test","7","332","1","","","","pattern,color,shape"
"null","","1759834","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1009","","1760853","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","65","img/r_t_stripes.png","65","test","1","333","1","","","","pattern,color,shape"
"null","","1761866","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1363","","1763240","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_check.png","70","test","4","334","1","","","","pattern,color,shape"
"null","","1764251","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1416","","1765676","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","83","img/r_s_check.png","83","test","2","335","1","","","","pattern,color,shape"
"null","","1766687","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"2281","","1768980","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_stripes.png","72","test","5","336","0","","","","pattern,color,shape"
"null","","1769991","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1516","","1771518","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","76","img/r_t_check.png","76","test","8","337","1","","","","pattern,color,shape"
"null","","1772528","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"894","","1773431","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","76","img/r_t_check.png","76","test","8","338","1","","","","pattern,color,shape"
"null","","1774439","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1367","","1775816","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","74","img/p_s_stripes.png","74","test","6","339","1","","","","pattern,color,shape"
"null","","1776827","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1444","","1778282","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","65","img/r_t_stripes.png","65","test","1","340","1","","","","pattern,color,shape"
"null","","1779294","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1003","","1780307","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","76","img/r_t_check.png","76","test","8","341","1","","","","pattern,color,shape"
"null","","1781318","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"780","","1782109","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","75","img/p_s_check.png","75","test","7","342","1","","","","pattern,color,shape"
"null","","1783121","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"767","","1783898","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","74","img/p_s_stripes.png","74","test","6","343","1","","","","pattern,color,shape"
"null","","1784911","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1280","","1786201","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","68","img/r_s_stripes.png","68","test","3","344","1","","","","pattern,color,shape"
"null","","1787213","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1462","","1788683","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_check.png","70","test","4","345","1","","","","pattern,color,shape"
"null","","1789693","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1044","","1790748","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","74","img/p_s_stripes.png","74","test","6","346","1","","","","pattern,color,shape"
"null","","1791761","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"727","","1792500","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","75","img/p_s_check.png","75","test","7","347","1","","","","pattern,color,shape"
"null","","1793512","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1637","","1795159","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","68","img/r_s_stripes.png","68","test","3","348","1","","","","pattern,color,shape"
"null","","1796169","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"918","","1797097","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","83","img/r_s_check.png","83","test","2","349","1","","","","pattern,color,shape"
"null","","1798110","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1567","","1799685","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_check.png","70","test","4","350","1","","","","pattern,color,shape"
"null","","1800697","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"777","","1801484","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","72","img/p_t_stripes.png","72","test","5","351","1","","","","pattern,color,shape"
"null","","1802495","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"2033","","1804538","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","70","img/p_t_check.png","70","test","4","352","1","","","","pattern,color,shape"
"null","","1805550","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
"1152","","1806713","FlatDy4ake9brq","etwvgui1u8","msl000528","rl","65","img/r_t_stripes.png","65","test","1","353","1","","","","pattern,color,shape"
"null","","1807724","FlatDy4ake9brq","etwvgui1u8","msl000528","feedback","null","","na","test","","","","","","",""
